kabupaten_kota,kecamatan,jenis_usaha,avg_skor_potensi,avg_omset,survival_rate,avg_infrastruktur,avg_kompetitor,avg_internet,avg_financial_access,umkm_count,competition_inv,recommendation_score,rank,explanation
Kota Bandung,Rancasari,Fashion,88.39,108.89750000000001,1.0,89.9,7.0,95.0,0.6737,4,0.125,1022.3183157894738,1,High survival (100%); Good infrastructure; Good internet (9500%)
Kota Bekasi,Pondok Gede,Fashion,91.136,165.0,0.8,95.0,9.0,95.0,0.6224000000000001,5,0.1,1018.8408000000001,2,High survival (80%); Good infrastructure; Good internet (9500%)
Kota Depok,Sukmajaya,Fashion,77.23,94.95272727272727,0.7272727272727273,89.7,12.0,95.0,0.6455,11,0.07692307692307693,1011.3888748619802,3,Good infrastructure; Good internet (9500%)
Kota Depok,Cilodong,Fashion,91.711,91.44,0.4,86.5,10.0,95.0,0.619,10,0.09090909090909091,1007.0874626794259,4,Good infrastructure; Good internet (9500%)
Kota Bandung,Cibiru,Fashion,80.01,125.83000000000001,0.5,84.9,0.0,93.5,0.6163,4,1.0,1004.3766842105264,5,Low competition; Good infrastructure; Good internet (9350%)
Kab. Bandung Barat,Cihampelas,Fashion,83.81,96.52000000000001,1.0,89.8,0.0,92.0,0.387,4,1.0,1004.0482631578948,6,High survival (100%); Low competition; Good infrastructure; Good internet (9200%)
Kota Bandung,Bojongloa Kaler,Fashion,73.52,99.55666666666667,0.8333333333333334,91.8,16.0,93.90000000000002,0.639,6,0.058823529411764705,1002.0980020639836,7,High survival (83%); Good infrastructure; Good internet (9390%)
Kota Bandung,Panyileukan,Fashion,95.30545454545455,83.19181818181818,0.5454545454545454,86.5,1.0,93.3,0.6464000000000001,11,0.5,1000.9385263157895,8,Low competition; Good infrastructure; Good internet (9330%)
Kota Bekasi,Bekasi Selatan,Fashion,94.53000000000002,145.55,0.0,89.59999999999998,9.0,95.0,0.62,3,0.1,998.7221578947368,9,Good infrastructure; Good internet (9500%)
Kota Bandung,Margacinta,Fashion,98.4,110.95750000000001,0.75,88.2,0.0,91.5,0.6707000000000001,4,1.0,996.8384210526317,10,Low competition; Good infrastructure; Good internet (9150%)
Kota Bekasi,Bekasi Selatan,Kerajinan,91.99666666666667,39.68333333333334,0.6666666666666666,89.59999999999998,9.0,95.0,0.62,6,0.1,1014.6288245614035,1,Good infrastructure; Good internet (9500%)
Kota Bandung,Rancasari,Kerajinan,87.125,42.419999999999995,0.6666666666666666,89.90000000000002,7.0,95.0,0.6736999999999999,6,0.125,1013.6054824561404,2,Good infrastructure; Good internet (9500%)
Kota Depok,Cilodong,Kerajinan,90.78333333333333,60.275555555555556,0.6666666666666666,86.5,10.0,95.0,0.619,9,0.09090909090909091,1013.4758293460925,3,Good infrastructure; Good internet (9500%)
Kota Depok,Sukmajaya,Kerajinan,79.53,44.59166666666667,0.6666666666666666,89.7,12.0,95.0,0.6455,6,0.07692307692307693,1010.5637233468286,4,Good infrastructure; Good internet (9500%)
Kota Bandung,Bojongloa Kaler,Kerajinan,74.55636363636363,48.49454545454545,0.6363636363636364,91.8,16.0,93.9,0.639,11,0.058823529411764705,997.4846687306502,5,Good infrastructure; Good internet (9390%)
Kab. Bekasi,Bojongmangu,Kerajinan,75.41,57.98199999999999,1.0,87.9,22.0,92.1,0.5253,5,0.043478260869565216,987.7804370709381,6,High survival (100%); Good infrastructure; Good internet (9210%)
Kota Cimahi,Cimahi Utara,Kerajinan,83.38666666666667,47.95333333333333,0.5555555555555556,90.0,25.0,92.6,0.5903,9,0.038461538461538464,984.4291803868647,7,Good infrastructure; Good internet (9260%)
Kota Bandung,Cicendo,Kerajinan,93.67999999999999,47.52666666666667,0.6666666666666666,92.2,9.0,90.8,0.6368,3,0.1,973.6811929824562,8,Good infrastructure; Good internet (9080%)
Kota Bandung,Sukajadi,Kerajinan,77.78,48.08125,0.75,93.7,9.0,89.7,0.5962000000000001,8,0.1,960.3103157894739,9,Good infrastructure; Good internet (8970%)
Kota Bandung,Gedebage,Kerajinan,89.33999999999999,47.76333333333333,1.0,72.6,0.0,87.7,0.6656,3,1.0,959.086210526316,10,High survival (100%); Low competition; Good infrastructure; Good internet (8770%)
Kota Bekasi,Pondok Gede,Jasa,93.16000000000001,105.68,1.0,95.0,9.0,95.0,0.6224000000000001,3,0.1,1024.4479999999999,1,High survival (100%); Good infrastructure; Good internet (9500%)
Kota Bandung,Rancasari,Jasa,85.86,102.95666666666666,1.0,89.90000000000002,7.0,95.0,0.6736999999999999,3,0.125,1021.5593157894738,2,High survival (100%); Good infrastructure; Good internet (9500%)
Kota Depok,Cilodong,Jasa,91.52125,145.6775,0.875,86.5,10.0,95.0,0.619,8,0.09090909090909091,1018.9055376794258,3,High survival (88%); Good infrastructure; Good internet (9500%)
Kota Depok,Sukmajaya,Jasa,79.72461538461539,111.33153846153846,0.6153846153846154,89.70000000000002,12.0,95.0,0.6455,13,0.07692307692307693,1009.340056680162,4,Good infrastructure; Good internet (9500%)
Kota Bandung,Panyileukan,Jasa,97.91555555555556,119.34333333333332,0.7777777777777778,86.5,1.0,93.3,0.6464000000000001,9,0.5,1007.5296374269006,5,High survival (78%); Low competition; Good infrastructure; Good internet (9330%)
Kab. Bandung Barat,Cihampelas,Jasa,83.17666666666666,81.52333333333333,1.0,89.8,0.0,92.0,0.387,3,1.0,1003.858263157895,6,High survival (100%); Low competition; Good infrastructure; Good internet (9200%)
Kota Bandung,Bojongloa Kaler,Jasa,76.23428571428572,104.10000000000001,0.7142857142857143,91.8,16.0,93.9,0.639,7,0.058823529411764705,999.9360973020789,7,Good infrastructure; Good internet (9390%)
Kota Bandung,Margacinta,Jasa,98.4,110.82000000000001,0.5,88.2,0.0,91.5,0.6707000000000001,4,1.0,990.5884210526317,8,Low competition; Good infrastructure; Good internet (9150%)
Kota Bekasi,Pondok Melati,Jasa,76.47999999999999,94.36800000000001,0.8,94.2,6.0,92.5,0.6293,5,0.14285714285714285,989.9184360902256,9,High survival (80%); Good infrastructure; Good internet (9250%)
Kab. Bekasi,Bojongmangu,Jasa,75.41,122.84200000000001,0.6,87.9,22.0,92.1,0.5253,5,0.043478260869565216,977.7804370709381,10,Good infrastructure; Good internet (9210%)
Kota Depok,Cilodong,Pertanian,89.434,55.452,0.6,86.5,10.0,95.0,0.619,5,0.09090909090909091,1011.4043626794258,1,Good infrastructure; Good internet (9500%)
Kota Bandung,Rancasari,Pertanian,87.30571428571429,42.205714285714286,0.42857142857142855,89.9,7.0,95.0,0.6737,7,0.125,1007.7073157894738,2,Good infrastructure; Good internet (9500%)
Kota Bandung,Bojongloa Kaler,Pertanian,72.25333333333333,51.38833333333333,1.0,91.8,16.0,93.90000000000002,0.639,6,0.058823529411764705,1005.8846687306504,3,High survival (100%); Good infrastructure; Good internet (9390%)
Kota Cimahi,Cimahi Tengah,Pertanian,78.68,32.583333333333336,1.0,88.09999999999998,0.0,91.8,0.5848,3,1.0,1000.1513684210526,4,High survival (100%); Low competition; Good infrastructure; Good internet (9180%)
Kota Bandung,Margacinta,Pertanian,98.4,43.33,0.75,88.2,0.0,91.5,0.6707000000000001,4,1.0,996.8384210526317,5,Low competition; Good infrastructure; Good internet (9150%)
Kab. Bandung Barat,Cihampelas,Pertanian,82.66999999999999,42.122,0.6,89.8,0.0,92.0,0.387,5,1.0,993.7062631578948,6,Low competition; Good infrastructure; Good internet (9200%)
Kota Bandung,Sukasari,Pertanian,89.71999999999998,56.39333333333334,0.6666666666666666,85.5,0.0,91.09999999999998,0.5874,3,1.0,987.5826666666665,7,Low competition; Good infrastructure; Good internet (9110%)
Kota Bekasi,Pondok Melati,Pertanian,79.14,62.8575,0.5,94.2,6.0,92.5,0.6293,4,0.14285714285714285,983.2164360902257,8,Good infrastructure; Good internet (9250%)
Kota Cimahi,Cimahi Utara,Pertanian,84.23,30.73,0.3333333333333333,90.0,25.0,92.59999999999998,0.5903,3,0.038461538461538464,979.1266248313087,9,Good infrastructure; Good internet (9260%)
Kab. Bekasi,Bojongmangu,Pertanian,75.03,45.655,0.25,87.9,22.0,92.1,0.5253,4,0.043478260869565216,968.9164370709382,10,Good infrastructure; Good internet (9210%)
