kabupaten_kota,kecamatan,latitude,longitude,is_kota,jenis_usaha,tahun_berdiri,jumlah_karyawan,has_digital_presence,omset_bulanan,populasi,kepadatan_penduduk,income_per_kapita,jarak_ke_jalan_utama,jarak_ke_pasar,akses_internet_pct,skor_infrastruktur,jumlah_kompetitor_radius_3km,jarak_ke_bank_terdekat,penetrasi_kur_pct,risiko_banjir,risiko_gempa,skor_potensi,is_survived_3yr,business_maturity,infra_x_income,competition_density_ratio,avg_distance_to_facilities,market_gap_score,digital_readiness_index,risk_composite,financial_access_score,omset_per_karyawan,location_advantage
Kab. Bandung,Cimenyan,-6.938105439421628,107.61498333379284,False,Fashion,2019,4,1,94.76,200718,60915.2,8.22,1.53,0.81,80.0,86.3,22,2.22,37.5,0.236,0.174,68.53,0,5,0.472924,0.3611578062618197,1.5200000000000002,8726.869565217392,0.9,0.205,0.6431,23.69,68.6085
Kab. Bandung,Cimenyan,-6.93537680391104,107.6060292203362,False,Kerajinan,2010,6,1,55.68,200718,60915.2,8.22,1.53,0.81,80.0,86.3,22,2.22,37.5,0.236,0.174,68.53,1,14,0.472924,0.3611578062618197,1.5200000000000002,8726.869565217392,0.9,0.205,0.6431,9.28,68.6085
Kab. Bandung,Cimenyan,-6.941220627051117,107.61396335488244,False,Fashion,2023,13,0,56.77,200718,60915.2,8.22,1.53,0.81,80.0,86.3,22,2.22,37.5,0.236,0.174,60.93,1,1,0.472924,0.3611578062618197,1.5200000000000002,8726.869565217392,0.4,0.205,0.6431,4.366923076923078,68.6085
Kab. Bandung,Cimenyan,-6.947941735516763,107.61158271475904,False,Pertanian,2022,1,1,44.94,200718,60915.2,8.22,1.53,0.81,80.0,86.3,22,2.22,37.5,0.236,0.174,68.53,0,2,0.472924,0.3611578062618197,1.5200000000000002,8726.869565217392,0.9,0.205,0.6431,44.94,68.6085
Kab. Bandung,Cimenyan,-6.934891938308923,107.61433232818923,False,Kerajinan,2019,6,1,118.34,200718,60915.2,8.22,1.53,0.81,80.0,86.3,22,2.22,37.5,0.236,0.174,68.53,1,5,0.472924,0.3611578062618197,1.5200000000000002,8726.869565217392,0.9,0.205,0.6431,19.723333333333333,68.6085
Kab. Bandung,Cimenyan,-6.9509102546566455,107.6109342504668,False,Fashion,2015,1,1,81.54,200718,60915.2,8.22,1.53,0.81,80.0,86.3,22,2.22,37.5,0.236,0.174,68.53,0,9,0.472924,0.3611578062618197,1.5200000000000002,8726.869565217392,0.9,0.205,0.6431,81.54,68.6085
Kab. Bandung,Cimenyan,-6.950870392826163,107.6057093895898,False,Makanan,2012,1,1,119.05,200718,60915.2,8.22,1.53,0.81,80.0,86.3,22,2.22,37.5,0.236,0.174,68.53,1,12,0.472924,0.3611578062618197,1.5200000000000002,8726.869565217392,0.9,0.205,0.6431,119.05,68.6085
Kab. Bandung,Cimenyan,-6.943030562919589,107.61408272300244,False,Kerajinan,2011,7,0,75.75,200718,60915.2,8.22,1.53,0.81,80.0,86.3,22,2.22,37.5,0.236,0.174,60.93,1,13,0.472924,0.3611578062618197,1.5200000000000002,8726.869565217392,0.4,0.205,0.6431,10.821428571428571,68.6085
Kab. Bandung,Cimenyan,-6.944844206286201,107.61012450547106,False,Fashion,2023,3,0,28.35,200718,60915.2,8.22,1.53,0.81,80.0,86.3,22,2.22,37.5,0.236,0.174,60.93,0,1,0.472924,0.3611578062618197,1.5200000000000002,8726.869565217392,0.4,0.205,0.6431,9.450000000000001,68.6085
Kab. Bandung,Cimenyan,-6.949499845017326,107.61128216804364,False,Jasa,2022,2,1,123.6,200718,60915.2,8.22,1.53,0.81,80.0,86.3,22,2.22,37.5,0.236,0.174,68.53,1,2,0.472924,0.3611578062618197,1.5200000000000002,8726.869565217392,0.9,0.205,0.6431,61.8,68.6085
Kab. Bandung,Cimenyan,-6.949307743893217,107.61109164861868,False,Makanan,2016,2,1,108.98,200718,60915.2,8.22,1.53,0.81,80.0,86.3,22,2.22,37.5,0.236,0.174,68.53,1,8,0.472924,0.3611578062618197,1.5200000000000002,8726.869565217392,0.9,0.205,0.6431,54.49,68.6085
Kab. Bandung,Cimenyan,-6.939331664621311,107.610953172816,False,Jasa,2014,3,1,118.18,200718,60915.2,8.22,1.53,0.81,80.0,86.3,22,2.22,37.5,0.236,0.174,68.53,1,10,0.472924,0.3611578062618197,1.5200000000000002,8726.869565217392,0.9,0.205,0.6431,39.39333333333334,68.6085
Kab. Bandung,Cimenyan,-6.942057238882859,107.59625932720613,False,Makanan,2023,1,1,74.33,200718,60915.2,8.22,1.53,0.81,80.0,86.3,22,2.22,37.5,0.236,0.174,68.53,0,1,0.472924,0.3611578062618197,1.5200000000000002,8726.869565217392,0.9,0.205,0.6431,74.33,68.6085
Kab. Bandung,Cimenyan,-6.93418502060653,107.61260347687546,False,Makanan,2022,8,0,40.32,200718,60915.2,8.22,1.53,0.81,80.0,86.3,22,2.22,37.5,0.236,0.174,60.93,1,2,0.472924,0.3611578062618197,1.5200000000000002,8726.869565217392,0.4,0.205,0.6431,5.04,68.6085
Kab. Bandung,Cimenyan,-6.942640532217824,107.60676183511188,False,Kerajinan,2013,2,1,90.42,200718,60915.2,8.22,1.53,0.81,80.0,86.3,22,2.22,37.5,0.236,0.174,68.53,1,11,0.472924,0.3611578062618197,1.5200000000000002,8726.869565217392,0.9,0.205,0.6431,45.21,68.6085
Kab. Bandung,Cimenyan,-6.952524324196127,107.606608231182,False,Fashion,2014,12,1,75.16,200718,60915.2,8.22,1.53,0.81,80.0,86.3,22,2.22,37.5,0.236,0.174,68.53,1,10,0.472924,0.3611578062618197,1.5200000000000002,8726.869565217392,0.9,0.205,0.6431,6.263333333333333,68.6085
Kab. Bandung,Cimenyan,-6.942777685769546,107.61074569478684,False,Makanan,2010,3,0,30.43,200718,60915.2,8.22,1.53,0.81,80.0,86.3,22,2.22,37.5,0.236,0.174,60.93,0,14,0.472924,0.3611578062618197,1.5200000000000002,8726.869565217392,0.4,0.205,0.6431,10.143333333333333,68.6085
Kab. Bandung,Cimenyan,-6.947506985284915,107.60273699628917,False,Makanan,2019,6,1,53.43,200718,60915.2,8.22,1.53,0.81,80.0,86.3,22,2.22,37.5,0.236,0.174,68.53,1,5,0.472924,0.3611578062618197,1.5200000000000002,8726.869565217392,0.9,0.205,0.6431,8.905,68.6085
Kab. Bandung,Cimenyan,-6.936780646135308,107.60318277251297,False,Kerajinan,2010,6,1,26.72,200718,60915.2,8.22,1.53,0.81,80.0,86.3,22,2.22,37.5,0.236,0.174,68.53,0,14,0.472924,0.3611578062618197,1.5200000000000002,8726.869565217392,0.9,0.205,0.6431,4.453333333333333,68.6085
Kab. Bandung,Cimenyan,-6.9330972885027045,107.60503223568296,False,Kerajinan,2020,5,1,24.6,200718,60915.2,8.22,1.53,0.81,80.0,86.3,22,2.22,37.5,0.236,0.174,68.53,1,4,0.472924,0.3611578062618197,1.5200000000000002,8726.869565217392,0.9,0.205,0.6431,4.92,68.6085
Kab. Bandung,Cimenyan,-6.946067663583565,107.60332723969069,False,Makanan,2015,2,0,60.04,200718,60915.2,8.22,1.53,0.81,80.0,86.3,22,2.22,37.5,0.236,0.174,60.93,1,9,0.472924,0.3611578062618197,1.5200000000000002,8726.869565217392,0.4,0.205,0.6431,30.02,68.6085
Kab. Bandung,Cimenyan,-6.9402274593031725,107.61530527851195,False,Pertanian,2020,1,1,62.71,200718,60915.2,8.22,1.53,0.81,80.0,86.3,22,2.22,37.5,0.236,0.174,68.53,0,4,0.472924,0.3611578062618197,1.5200000000000002,8726.869565217392,0.9,0.205,0.6431,62.71,68.6085
Kab. Bandung,Cimenyan,-6.943438665115335,107.6034431865636,False,Makanan,2023,8,0,24.77,200718,60915.2,8.22,1.53,0.81,80.0,86.3,22,2.22,37.5,0.236,0.174,60.93,0,1,0.472924,0.3611578062618197,1.5200000000000002,8726.869565217392,0.4,0.205,0.6431,3.09625,68.6085
Kab. Bandung,Cimenyan,-6.935755297439065,107.59803265949856,False,Makanan,2020,4,0,50.46,200718,60915.2,8.22,1.53,0.81,80.0,86.3,22,2.22,37.5,0.236,0.174,60.93,0,4,0.472924,0.3611578062618197,1.5200000000000002,8726.869565217392,0.4,0.205,0.6431,12.615,68.6085
Kab. Bandung,Cimenyan,-6.942616685164409,107.60750295206704,False,Makanan,2024,2,0,50.97,200718,60915.2,8.22,1.53,0.81,80.0,86.3,22,2.22,37.5,0.236,0.174,60.93,1,0,0.472924,0.3611578062618197,1.5200000000000002,8726.869565217392,0.4,0.205,0.6431,25.485,68.6085
Kab. Bandung,Cimenyan,-6.944496015013621,107.59966487912446,False,Makanan,2019,3,0,98.51,200718,60915.2,8.22,1.53,0.81,80.0,86.3,22,2.22,37.5,0.236,0.174,60.93,1,5,0.472924,0.3611578062618197,1.5200000000000002,8726.869565217392,0.4,0.205,0.6431,32.836666666666666,68.6085
Kab. Bandung,Cimenyan,-6.940576435943996,107.60464860150287,False,Makanan,2012,4,1,85.23,200718,60915.2,8.22,1.53,0.81,80.0,86.3,22,2.22,37.5,0.236,0.174,68.53,0,12,0.472924,0.3611578062618197,1.5200000000000002,8726.869565217392,0.9,0.205,0.6431,21.3075,68.6085
Kab. Bandung,Cilengkrang,-7.036848041247453,107.5424852793983,False,Kerajinan,2019,3,0,30.3,101745,1563.5,3.38,0.78,10.46,65.3,69.4,1,5.24,34.3,0.067,0.382,46.36,0,5,0.15638133333333334,0.6395906619763352,5.493333333333333,50872.5,0.3265,0.2245,0.5667,10.1,53.819700000000005
Kab. Bandung,Cilengkrang,-7.02745479552214,107.54121413706596,False,Makanan,2010,5,1,116.19,101745,1563.5,3.38,0.78,10.46,65.3,69.4,1,5.24,34.3,0.067,0.382,53.96,1,14,0.15638133333333334,0.6395906619763352,5.493333333333333,50872.5,0.8265,0.2245,0.5667,23.238,53.819700000000005
Kab. Bandung,Cilengkrang,-7.040328855023169,107.53949859742691,False,Kerajinan,2011,5,0,44.26,101745,1563.5,3.38,0.78,10.46,65.3,69.4,1,5.24,34.3,0.067,0.382,46.36,1,13,0.15638133333333334,0.6395906619763352,5.493333333333333,50872.5,0.3265,0.2245,0.5667,8.852,53.819700000000005
Kab. Bandung,Cilengkrang,-7.034506611045336,107.53287373726734,False,Makanan,2018,3,1,91.36,101745,1563.5,3.38,0.78,10.46,65.3,69.4,1,5.24,34.3,0.067,0.382,53.96,1,6,0.15638133333333334,0.6395906619763352,5.493333333333333,50872.5,0.8265,0.2245,0.5667,30.453333333333333,53.819700000000005
Kab. Bandung,Cilengkrang,-7.036893525228023,107.5296044672958,False,Makanan,2012,1,1,74.59,101745,1563.5,3.38,0.78,10.46,65.3,69.4,1,5.24,34.3,0.067,0.382,53.96,1,12,0.15638133333333334,0.6395906619763352,5.493333333333333,50872.5,0.8265,0.2245,0.5667,74.59,53.819700000000005
Kab. Bandung,Cilengkrang,-7.043984157747457,107.52614517789604,False,Fashion,2014,1,0,75.84,101745,1563.5,3.38,0.78,10.46,65.3,69.4,1,5.24,34.3,0.067,0.382,46.36,0,10,0.15638133333333334,0.6395906619763352,5.493333333333333,50872.5,0.3265,0.2245,0.5667,75.84,53.819700000000005
Kab. Bandung,Cilengkrang,-7.028354491335055,107.52512192496388,False,Makanan,2022,7,1,53.64,101745,1563.5,3.38,0.78,10.46,65.3,69.4,1,5.24,34.3,0.067,0.382,53.96,1,2,0.15638133333333334,0.6395906619763352,5.493333333333333,50872.5,0.8265,0.2245,0.5667,7.662857142857143,53.819700000000005
Kab. Bandung,Cilengkrang,-7.029493281811208,107.53066710580606,False,Makanan,2011,1,0,94.22,101745,1563.5,3.38,0.78,10.46,65.3,69.4,1,5.24,34.3,0.067,0.382,46.36,1,13,0.15638133333333334,0.6395906619763352,5.493333333333333,50872.5,0.3265,0.2245,0.5667,94.22,53.819700000000005
Kab. Bandung,Cilengkrang,-7.037952079936215,107.53819206400937,False,Jasa,2019,3,0,60.9,101745,1563.5,3.38,0.78,10.46,65.3,69.4,1,5.24,34.3,0.067,0.382,46.36,1,5,0.15638133333333334,0.6395906619763352,5.493333333333333,50872.5,0.3265,0.2245,0.5667,20.3,53.819700000000005
Kab. Bandung,Cilengkrang,-7.042063548726077,107.53408515823315,False,Pertanian,2022,11,1,36.04,101745,1563.5,3.38,0.78,10.46,65.3,69.4,1,5.24,34.3,0.067,0.382,53.96,0,2,0.15638133333333334,0.6395906619763352,5.493333333333333,50872.5,0.8265,0.2245,0.5667,3.2763636363636364,53.819700000000005
Kab. Bandung,Cilengkrang,-7.044145599185748,107.54437046665257,False,Makanan,2024,2,1,21.91,101745,1563.5,3.38,0.78,10.46,65.3,69.4,1,5.24,34.3,0.067,0.382,53.96,0,0,0.15638133333333334,0.6395906619763352,5.493333333333333,50872.5,0.8265,0.2245,0.5667,10.955,53.819700000000005
Kab. Bandung,Cilengkrang,-7.039376660682325,107.53371827927926,False,Kerajinan,2014,4,0,32.46,101745,1563.5,3.38,0.78,10.46,65.3,69.4,1,5.24,34.3,0.067,0.382,46.36,1,10,0.15638133333333334,0.6395906619763352,5.493333333333333,50872.5,0.3265,0.2245,0.5667,8.115,53.819700000000005
Kab. Bandung,Cilengkrang,-7.031774043412003,107.53179323758684,False,Makanan,2022,2,0,19.65,101745,1563.5,3.38,0.78,10.46,65.3,69.4,1,5.24,34.3,0.067,0.382,46.36,0,2,0.15638133333333334,0.6395906619763352,5.493333333333333,50872.5,0.3265,0.2245,0.5667,9.825,53.819700000000005
Kab. Bandung,Cilengkrang,-7.039863364523971,107.53927025654664,False,Kerajinan,2014,1,1,21.77,101745,1563.5,3.38,0.78,10.46,65.3,69.4,1,5.24,34.3,0.067,0.382,53.96,1,10,0.15638133333333334,0.6395906619763352,5.493333333333333,50872.5,0.8265,0.2245,0.5667,21.77,53.819700000000005
Kab. Bandung,Bojongsoang,-7.046909079933733,107.65626795553744,False,Kerajinan,2014,1,1,55.92,51674,3452.9,7.9,0.65,9.8,70.4,72.9,0,1.5,35.3,0.147,0.442,67.96,0,10,0.3839400000000001,0.0,3.983333333333334,51674.0,0.8520000000000001,0.2945,0.6465,55.92,51.43095
Kab. Bandung,Bojongsoang,-7.05915021693779,107.64606069304186,False,Makanan,2015,11,1,93.77,51674,3452.9,7.9,0.65,9.8,70.4,72.9,0,1.5,35.3,0.147,0.442,67.96,0,9,0.3839400000000001,0.0,3.983333333333334,51674.0,0.8520000000000001,0.2945,0.6465,8.524545454545454,51.43095
Kab. Bandung,Bojongsoang,-7.0427219938603685,107.6510630676874,False,Kerajinan,2012,5,0,25.11,51674,3452.9,7.9,0.65,9.8,70.4,72.9,0,1.5,35.3,0.147,0.442,60.37,1,12,0.3839400000000001,0.0,3.983333333333334,51674.0,0.35200000000000004,0.2945,0.6465,5.022,51.43095
Kab. Bandung,Bojongsoang,-7.0547857231857485,107.65279649432776,False,Makanan,2016,3,0,15.58,51674,3452.9,7.9,0.65,9.8,70.4,72.9,0,1.5,35.3,0.147,0.442,60.37,1,8,0.3839400000000001,0.0,3.983333333333334,51674.0,0.35200000000000004,0.2945,0.6465,5.193333333333333,51.43095
Kab. Bandung,Bojongsoang,-7.052153164239331,107.65770839420972,False,Makanan,2021,2,1,111.31,51674,3452.9,7.9,0.65,9.8,70.4,72.9,0,1.5,35.3,0.147,0.442,67.96,0,3,0.3839400000000001,0.0,3.983333333333334,51674.0,0.8520000000000001,0.2945,0.6465,55.655,51.43095
Kab. Bandung,Bojongsoang,-7.057118095248383,107.6390964137036,False,Makanan,2014,3,0,60.09,51674,3452.9,7.9,0.65,9.8,70.4,72.9,0,1.5,35.3,0.147,0.442,60.37,1,10,0.3839400000000001,0.0,3.983333333333334,51674.0,0.35200000000000004,0.2945,0.6465,20.03,51.43095
Kab. Bandung,Bojongsoang,-7.059189567175519,107.65255230906988,False,Makanan,2012,3,1,40.65,51674,3452.9,7.9,0.65,9.8,70.4,72.9,0,1.5,35.3,0.147,0.442,67.96,1,12,0.3839400000000001,0.0,3.983333333333334,51674.0,0.8520000000000001,0.2945,0.6465,13.549999999999999,51.43095
Kab. Bandung,Margahayu,-6.969473047319847,107.61837555428612,False,Kerajinan,2020,5,1,23.95,61855,4933.5,8.02,3.19,1.35,85.3,84.0,1,2.49,39.6,0.136,0.166,82.33,1,4,0.44911999999999996,0.2026958548697679,2.3433333333333333,30927.5,0.9265,0.15100000000000002,0.6482,4.79,71.316
Kab. Bandung,Margahayu,-6.964608300530358,107.63110848263022,False,Fashion,2024,3,1,71.68,61855,4933.5,8.02,3.19,1.35,85.3,84.0,1,2.49,39.6,0.136,0.166,82.33,1,0,0.44911999999999996,0.2026958548697679,2.3433333333333333,30927.5,0.9265,0.15100000000000002,0.6482,23.893333333333334,71.316
Kab. Bandung,Margahayu,-6.970708495744716,107.6178395990839,False,Makanan,2014,8,0,35.81,61855,4933.5,8.02,3.19,1.35,85.3,84.0,1,2.49,39.6,0.136,0.166,74.74,0,10,0.44911999999999996,0.2026958548697679,2.3433333333333333,30927.5,0.4265,0.15100000000000002,0.6482,4.47625,71.316
Kab. Bandung,Margahayu,-6.973146216981036,107.62515511991054,False,Makanan,2010,13,0,39.54,61855,4933.5,8.02,3.19,1.35,85.3,84.0,1,2.49,39.6,0.136,0.166,74.74,1,14,0.44911999999999996,0.2026958548697679,2.3433333333333333,30927.5,0.4265,0.15100000000000002,0.6482,3.0415384615384613,71.316
Kab. Bandung,Margahayu,-6.971674777630987,107.61620457477052,False,Makanan,2016,2,1,23.92,61855,4933.5,8.02,3.19,1.35,85.3,84.0,1,2.49,39.6,0.136,0.166,82.33,1,8,0.44911999999999996,0.2026958548697679,2.3433333333333333,30927.5,0.9265,0.15100000000000002,0.6482,11.96,71.316
Kab. Bandung,Margahayu,-6.955171137478281,107.61826137048834,False,Makanan,2019,1,1,82.69,61855,4933.5,8.02,3.19,1.35,85.3,84.0,1,2.49,39.6,0.136,0.166,82.33,1,5,0.44911999999999996,0.2026958548697679,2.3433333333333333,30927.5,0.9265,0.15100000000000002,0.6482,82.69,71.316
Kab. Bandung,Margahayu,-6.957166418579535,107.61473743418024,False,Kerajinan,2013,12,0,43.75,61855,4933.5,8.02,3.19,1.35,85.3,84.0,1,2.49,39.6,0.136,0.166,74.74,1,11,0.44911999999999996,0.2026958548697679,2.3433333333333333,30927.5,0.4265,0.15100000000000002,0.6482,3.6458333333333335,71.316
Kab. Bandung,Margahayu,-6.965037789781363,107.63015724085643,False,Kerajinan,2014,8,1,73.56,61855,4933.5,8.02,3.19,1.35,85.3,84.0,1,2.49,39.6,0.136,0.166,82.33,1,10,0.44911999999999996,0.2026958548697679,2.3433333333333333,30927.5,0.9265,0.15100000000000002,0.6482,9.195,71.316
Kab. Bandung,Margaasih,-7.065679312573526,107.66278900283916,False,Fashion,2024,1,1,57.06,282260,44952.2,15.0,11.07,1.15,74.9,60.7,17,13.47,35.0,0.191,0.352,70.51,0,0,0.607,0.37817948843438143,8.563333333333334,15681.111111111111,0.8745,0.27149999999999996,0.40559999999999996,57.06,44.219950000000004
Kab. Bandung,Margaasih,-7.04764779372873,107.66329407921702,False,Makanan,2011,2,1,52.41,282260,44952.2,15.0,11.07,1.15,74.9,60.7,17,13.47,35.0,0.191,0.352,70.51,1,13,0.607,0.37817948843438143,8.563333333333334,15681.111111111111,0.8745,0.27149999999999996,0.40559999999999996,26.205,44.219950000000004
Kab. Bandung,Margaasih,-7.059593560014849,107.67100608148132,False,Makanan,2020,2,1,60.46,282260,44952.2,15.0,11.07,1.15,74.9,60.7,17,13.47,35.0,0.191,0.352,70.51,1,4,0.607,0.37817948843438143,8.563333333333334,15681.111111111111,0.8745,0.27149999999999996,0.40559999999999996,30.23,44.219950000000004
Kab. Bandung,Margaasih,-7.063640076789692,107.67348103662852,False,Fashion,2017,5,0,48.85,282260,44952.2,15.0,11.07,1.15,74.9,60.7,17,13.47,35.0,0.191,0.352,62.91,1,7,0.607,0.37817948843438143,8.563333333333334,15681.111111111111,0.37450000000000006,0.27149999999999996,0.40559999999999996,9.77,44.219950000000004
Kab. Bandung,Margaasih,-7.051256043078074,107.65860489787136,False,Makanan,2019,2,1,29.25,282260,44952.2,15.0,11.07,1.15,74.9,60.7,17,13.47,35.0,0.191,0.352,70.51,1,5,0.607,0.37817948843438143,8.563333333333334,15681.111111111111,0.8745,0.27149999999999996,0.40559999999999996,14.625,44.219950000000004
Kab. Bandung,Margaasih,-7.061829145400678,107.65823748448604,False,Makanan,2022,6,1,37.91,282260,44952.2,15.0,11.07,1.15,74.9,60.7,17,13.47,35.0,0.191,0.352,70.51,1,2,0.607,0.37817948843438143,8.563333333333334,15681.111111111111,0.8745,0.27149999999999996,0.40559999999999996,6.3183333333333325,44.219950000000004
Kab. Bandung,Margaasih,-7.047052235208174,107.67239095621956,False,Jasa,2022,4,1,69.2,282260,44952.2,15.0,11.07,1.15,74.9,60.7,17,13.47,35.0,0.191,0.352,70.51,1,2,0.607,0.37817948843438143,8.563333333333334,15681.111111111111,0.8745,0.27149999999999996,0.40559999999999996,17.3,44.219950000000004
Kab. Bandung,Margaasih,-7.048349051543593,107.66292734626784,False,Kerajinan,2015,1,1,39.83,282260,44952.2,15.0,11.07,1.15,74.9,60.7,17,13.47,35.0,0.191,0.352,70.51,0,9,0.607,0.37817948843438143,8.563333333333334,15681.111111111111,0.8745,0.27149999999999996,0.40559999999999996,39.83,44.219950000000004
Kab. Bandung,Margaasih,-7.0589965913060055,107.65835081483633,False,Fashion,2012,6,1,110.11,282260,44952.2,15.0,11.07,1.15,74.9,60.7,17,13.47,35.0,0.191,0.352,70.51,1,12,0.607,0.37817948843438143,8.563333333333334,15681.111111111111,0.8745,0.27149999999999996,0.40559999999999996,18.351666666666667,44.219950000000004
Kab. Bandung,Margaasih,-7.050689810106464,107.67355116335884,False,Kerajinan,2024,4,1,31.22,282260,44952.2,15.0,11.07,1.15,74.9,60.7,17,13.47,35.0,0.191,0.352,70.51,1,0,0.607,0.37817948843438143,8.563333333333334,15681.111111111111,0.8745,0.27149999999999996,0.40559999999999996,7.805,44.219950000000004
Kab. Bandung,Margaasih,-7.060272750572105,107.65782923555052,False,Kerajinan,2017,3,1,39.45,282260,44952.2,15.0,11.07,1.15,74.9,60.7,17,13.47,35.0,0.191,0.352,70.51,1,7,0.607,0.37817948843438143,8.563333333333334,15681.111111111111,0.8745,0.27149999999999996,0.40559999999999996,13.15,44.219950000000004
Kab. Bandung,Margaasih,-7.060346803366808,107.66582511397569,False,Makanan,2014,7,0,45.96,282260,44952.2,15.0,11.07,1.15,74.9,60.7,17,13.47,35.0,0.191,0.352,62.91,1,10,0.607,0.37817948843438143,8.563333333333334,15681.111111111111,0.37450000000000006,0.27149999999999996,0.40559999999999996,6.565714285714286,44.219950000000004
