kabupaten_kota,kecamatan,latitude,longitude,is_kota,jenis_usaha,tahun_berdiri,jumlah_karyawan,has_digital_presence,omset_bulanan,populasi,kepadatan_penduduk,income_per_kapita,jarak_ke_jalan_utama,jarak_ke_pasar,akses_internet_pct,skor_infrastruktur,jumlah_kompetitor_radius_3km,jarak_ke_bank_terdekat,penetrasi_kur_pct,risiko_banjir,risiko_gempa,skor_potensi,is_survived_3yr
Kab. Bandung,Bojongsoang,-7.052153164239331,107.65770839420973,False,Makanan,2021,2,1,111.31,51674,3452.9,7.9,0.65,9.8,70.4,72.9,0,1.5,35.3,0.147,0.442,67.96,0
Kab. Bandung,Bojongsoang,-7.057118095248383,107.6390964137036,False,Makanan,2014,3,0,60.09,51674,3452.9,7.9,0.65,9.8,70.4,72.9,0,1.5,35.3,0.147,0.442,60.37,1
Kab. Bandung,Bojongsoang,-7.059189567175519,107.65255230906989,False,Makanan,2012,3,1,40.65,51674,3452.9,7.9,0.65,9.8,70.4,72.9,0,1.5,35.3,0.147,0.442,67.96,1
Kab. Bandung,Margahayu,-6.9694730473198465,107.61837555428612,False,Kerajinan,2020,5,1,23.95,61855,4933.5,8.02,3.19,1.35,85.3,84.0,1,2.49,39.6,0.136,0.166,82.33,1
Kab. Bandung,Margahayu,-6.964608300530358,107.63110848263022,False,Fashion,2024,3,1,71.68,61855,4933.5,8.02,3.19,1.35,85.3,84.0,1,2.49,39.6,0.136,0.166,82.33,1
Kab. Bandung,Margahayu,-6.970708495744716,107.6178395990839,False,Makanan,2014,8,0,35.81,61855,4933.5,8.02,3.19,1.35,85.3,84.0,1,2.49,39.6,0.136,0.166,74.74,0
Kab. Bandung,Margahayu,-6.973146216981036,107.62515511991054,False,Makanan,2010,13,0,39.54,61855,4933.5,8.02,3.19,1.35,85.3,84.0,1,2.49,39.6,0.136,0.166,74.74,1
Kab. Bandung,Margahayu,-6.971674777630987,107.61620457477052,False,Makanan,2016,2,1,23.92,61855,4933.5,8.02,3.19,1.35,85.3,84.0,1,2.49,39.6,0.136,0.166,82.33,1
Kab. Bandung,Margahayu,-6.955171137478281,107.61826137048834,False,Makanan,2019,1,1,82.69,61855,4933.5,8.02,3.19,1.35,85.3,84.0,1,2.49,39.6,0.136,0.166,82.33,1
Kab. Bandung,Margahayu,-6.9571664185795346,107.61473743418023,False,Kerajinan,2013,12,0,43.75,61855,4933.5,8.02,3.19,1.35,85.3,84.0,1,2.49,39.6,0.136,0.166,74.74,1
Kab. Bandung,Margahayu,-6.965037789781363,107.63015724085645,False,Kerajinan,2014,8,1,73.56,61855,4933.5,8.02,3.19,1.35,85.3,84.0,1,2.49,39.6,0.136,0.166,82.33,1
Kab. Bandung,Margaasih,-7.065679312573526,107.66278900283916,False,Fashion,2024,1,1,57.06,282260,44952.2,15.0,11.07,1.15,74.9,60.7,17,13.47,35.0,0.191,0.352,70.51,0
Kab. Bandung,Margaasih,-7.04764779372873,107.66329407921702,False,Makanan,2011,2,1,52.41,282260,44952.2,15.0,11.07,1.15,74.9,60.7,17,13.47,35.0,0.191,0.352,70.51,1
Kab. Bandung,Margaasih,-7.059593560014849,107.67100608148131,False,Makanan,2020,2,1,60.46,282260,44952.2,15.0,11.07,1.15,74.9,60.7,17,13.47,35.0,0.191,0.352,70.51,1
Kab. Bandung,Margaasih,-7.063640076789692,107.67348103662852,False,Fashion,2017,5,0,48.85,282260,44952.2,15.0,11.07,1.15,74.9,60.7,17,13.47,35.0,0.191,0.352,62.91,1
Kab. Bandung,Margaasih,-7.051256043078074,107.65860489787136,False,Makanan,2019,2,1,29.25,282260,44952.2,15.0,11.07,1.15,74.9,60.7,17,13.47,35.0,0.191,0.352,70.51,1
Kab. Bandung,Margaasih,-7.061829145400678,107.65823748448605,False,Makanan,2022,6,1,37.91,282260,44952.2,15.0,11.07,1.15,74.9,60.7,17,13.47,35.0,0.191,0.352,70.51,1
Kab. Bandung,Margaasih,-7.047052235208174,107.67239095621956,False,Jasa,2022,4,1,69.2,282260,44952.2,15.0,11.07,1.15,74.9,60.7,17,13.47,35.0,0.191,0.352,70.51,1
Kab. Bandung,Margaasih,-7.048349051543593,107.66292734626784,False,Kerajinan,2015,1,1,39.83,282260,44952.2,15.0,11.07,1.15,74.9,60.7,17,13.47,35.0,0.191,0.352,70.51,0
Kab. Bandung,Margaasih,-7.0589965913060055,107.65835081483631,False,Fashion,2012,6,1,110.11,282260,44952.2,15.0,11.07,1.15,74.9,60.7,17,13.47,35.0,0.191,0.352,70.51,1
Kab. Bandung,Margaasih,-7.050689810106464,107.67355116335884,False,Kerajinan,2024,4,1,31.22,282260,44952.2,15.0,11.07,1.15,74.9,60.7,17,13.47,35.0,0.191,0.352,70.51,1
Kab. Bandung,Margaasih,-7.060272750572105,107.65782923555051,False,Kerajinan,2017,3,1,39.45,282260,44952.2,15.0,11.07,1.15,74.9,60.7,17,13.47,35.0,0.191,0.352,70.51,1
Kab. Bandung,Margaasih,-7.060346803366808,107.66582511397567,False,Makanan,2014,7,0,45.96,282260,44952.2,15.0,11.07,1.15,74.9,60.7,17,13.47,35.0,0.191,0.352,62.91,1
Kab. Bandung,Margaasih,-7.055452224884186,107.67408494841644,False,Fashion,2021,1,1,53.34,282260,44952.2,15.0,11.07,1.15,74.9,60.7,17,13.47,35.0,0.191,0.352,70.51,1
Kab. Bandung,Margaasih,-7.049298081835486,107.66236923648562,False,Makanan,2019,2,1,57.81,282260,44952.2,15.0,11.07,1.15,74.9,60.7,17,13.47,35.0,0.191,0.352,70.51,1
Kab. Bandung,Margaasih,-7.0575996317987615,107.66914748676957,False,Kerajinan,2010,5,0,33.2,282260,44952.2,15.0,11.07,1.15,74.9,60.7,17,13.47,35.0,0.191,0.352,62.91,1
Kab. Bandung,Margaasih,-7.056441228558071,107.66692958256272,False,Makanan,2019,1,1,25.55,282260,44952.2,15.0,11.07,1.15,74.9,60.7,17,13.47,35.0,0.191,0.352,70.51,1
Kab. Bandung,Margaasih,-7.05030863704946,107.6662648346771,False,Fashion,2024,2,1,62.35,282260,44952.2,15.0,11.07,1.15,74.9,60.7,17,13.47,35.0,0.191,0.352,70.51,0
Kab. Bandung,Margaasih,-7.061210194711564,107.65737399850921,False,Fashion,2011,1,1,82.37,282260,44952.2,15.0,11.07,1.15,74.9,60.7,17,13.47,35.0,0.191,0.352,70.51,1
Kab. Bandung,Margaasih,-7.062087166708025,107.67005605071559,False,Kerajinan,2024,2,1,54.68,282260,44952.2,15.0,11.07,1.15,74.9,60.7,17,13.47,35.0,0.191,0.352,70.51,0
Kab. Bandung,Margaasih,-7.053268159687272,107.67341836411008,False,Fashion,2017,2,1,66.41,282260,44952.2,15.0,11.07,1.15,74.9,60.7,17,13.47,35.0,0.191,0.352,70.51,0
Kab. Bandung,Margaasih,-7.053752599945761,107.66362109960569,False,Fashion,2023,1,1,65.26,282260,44952.2,15.0,11.07,1.15,74.9,60.7,17,13.47,35.0,0.191,0.352,70.51,1
Kab. Bandung,Margaasih,-7.063311895216895,107.66955520356647,False,Makanan,2011,1,1,68.2,282260,44952.2,15.0,11.07,1.15,74.9,60.7,17,13.47,35.0,0.191,0.352,70.51,1
Kab. Bandung,Margaasih,-7.063447668139967,107.66192238221936,False,Jasa,2022,9,1,79.12,282260,44952.2,15.0,11.07,1.15,74.9,60.7,17,13.47,35.0,0.191,0.352,70.51,1
Kab. Bandung,Margaasih,-7.051742764019426,107.66457908513904,False,Fashion,2019,2,1,71.83,282260,44952.2,15.0,11.07,1.15,74.9,60.7,17,13.47,35.0,0.191,0.352,70.51,1
Kab. Bandung,Margaasih,-7.054266747517381,107.66309313021723,False,Jasa,2015,10,1,81.37,282260,44952.2,15.0,11.07,1.15,74.9,60.7,17,13.47,35.0,0.191,0.352,70.51,1
Kab. Bandung,Margaasih,-7.050856866617215,107.6613218856622,False,Jasa,2015,1,0,119.0,282260,44952.2,15.0,11.07,1.15,74.9,60.7,17,13.47,35.0,0.191,0.352,62.91,1
Kab. Bandung,Margaasih,-7.051114471022775,107.66669016586127,False,Makanan,2016,4,1,86.5,282260,44952.2,15.0,11.07,1.15,74.9,60.7,17,13.47,35.0,0.191,0.352,70.51,1
Kab. Bandung,Margaasih,-7.063768068622444,107.67460308395736,False,Pertanian,2012,4,0,21.61,282260,44952.2,15.0,11.07,1.15,74.9,60.7,17,13.47,35.0,0.191,0.352,62.91,1
Kab. Bandung,Margaasih,-7.05159737798756,107.66052743882699,False,Pertanian,2011,7,1,37.5,282260,44952.2,15.0,11.07,1.15,74.9,60.7,17,13.47,35.0,0.191,0.352,70.51,0
Kab. Bandung,Margaasih,-7.050829281757028,107.66448299607409,False,Fashion,2010,1,1,86.32,282260,44952.2,15.0,11.07,1.15,74.9,60.7,17,13.47,35.0,0.191,0.352,70.51,1
Kab. Bandung,Margaasih,-7.048586216987016,107.65601100646944,False,Fashion,2016,3,1,72.49,282260,44952.2,15.0,11.07,1.15,74.9,60.7,17,13.47,35.0,0.191,0.352,70.51,0
Kab. Bandung,Margaasih,-7.062482839251362,107.6652286328184,False,Fashion,2018,9,1,89.06,282260,44952.2,15.0,11.07,1.15,74.9,60.7,17,13.47,35.0,0.191,0.352,70.51,1
Kab. Bandung,Margaasih,-7.056944059682544,107.66942658714109,False,Makanan,2018,4,1,96.84,282260,44952.2,15.0,11.07,1.15,74.9,60.7,17,13.47,35.0,0.191,0.352,70.51,0
Kab. Bandung,Margaasih,-7.0510083403322446,107.65918617842226,False,Jasa,2021,1,0,135.92,282260,44952.2,15.0,11.07,1.15,74.9,60.7,17,13.47,35.0,0.191,0.352,62.91,1
Kab. Bandung,Margaasih,-7.061576249535857,107.66706101504815,False,Makanan,2023,2,1,21.48,282260,44952.2,15.0,11.07,1.15,74.9,60.7,17,13.47,35.0,0.191,0.352,70.51,0
Kab. Bandung,Margaasih,-7.052770089720713,107.667106603219,False,Makanan,2018,5,0,33.59,282260,44952.2,15.0,11.07,1.15,74.9,60.7,17,13.47,35.0,0.191,0.352,62.91,1
Kab. Bandung,Margaasih,-7.049448748457414,107.66469432474209,False,Fashion,2013,6,0,47.52,282260,44952.2,15.0,11.07,1.15,74.9,60.7,17,13.47,35.0,0.191,0.352,62.91,0
Kab. Bandung,Margaasih,-7.051283279036584,107.66841130612531,False,Pertanian,2022,3,1,54.46,282260,44952.2,15.0,11.07,1.15,74.9,60.7,17,13.47,35.0,0.191,0.352,70.51,1
Kab. Bandung,Katapang,-6.935808554661669,107.53707953206356,False,Fashion,2016,5,0,139.02,139650,9749.8,6.37,6.69,11.16,79.9,61.0,2,5.54,31.6,0.271,0.323,51.52,1
Kab. Bandung,Katapang,-6.916977115286717,107.5398547942008,False,Jasa,2018,5,0,98.61,139650,9749.8,6.37,6.69,11.16,79.9,61.0,2,5.54,31.6,0.271,0.323,51.52,1
Kab. Bandung,Katapang,-6.924349542246238,107.53410971105954,False,Kerajinan,2021,4,1,50.9,139650,9749.8,6.37,6.69,11.16,79.9,61.0,2,5.54,31.6,0.271,0.323,59.11,0
Kab. Bandung,Katapang,-6.935238456281169,107.54518478704834,False,Makanan,2018,7,1,60.89,139650,9749.8,6.37,6.69,11.16,79.9,61.0,2,5.54,31.6,0.271,0.323,59.11,0
Kab. Bandung,Katapang,-6.923498811824857,107.5535405095289,False,Makanan,2015,1,1,37.68,139650,9749.8,6.37,6.69,11.16,79.9,61.0,2,5.54,31.6,0.271,0.323,59.11,1
Kab. Bandung,Katapang,-6.9333173203064735,107.5396952010332,False,Kerajinan,2014,1,0,39.34,139650,9749.8,6.37,6.69,11.16,79.9,61.0,2,5.54,31.6,0.271,0.323,51.52,1
Kab. Bandung,Katapang,-6.926882927930271,107.54234149410216,False,Fashion,2012,1,1,115.95,139650,9749.8,6.37,6.69,11.16,79.9,61.0,2,5.54,31.6,0.271,0.323,59.11,1
Kab. Bandung,Katapang,-6.929499970306935,107.55269692670865,False,Jasa,2017,1,1,175.59,139650,9749.8,6.37,6.69,11.16,79.9,61.0,2,5.54,31.6,0.271,0.323,59.11,1
Kab. Bandung,Katapang,-6.930890473020395,107.54831495877414,False,Makanan,2022,3,1,50.16,139650,9749.8,6.37,6.69,11.16,79.9,61.0,2,5.54,31.6,0.271,0.323,59.11,0
Kab. Bandung,Katapang,-6.917430542525626,107.54543953377507,False,Makanan,2011,5,0,80.19,139650,9749.8,6.37,6.69,11.16,79.9,61.0,2,5.54,31.6,0.271,0.323,51.52,1
Kab. Bandung,Katapang,-6.918462021969866,107.54180359460669,False,Makanan,2018,1,1,48.17,139650,9749.8,6.37,6.69,11.16,79.9,61.0,2,5.54,31.6,0.271,0.323,59.11,1
Kab. Bandung,Katapang,-6.936442232219788,107.53652646372475,False,Jasa,2015,7,1,217.97,139650,9749.8,6.37,6.69,11.16,79.9,61.0,2,5.54,31.6,0.271,0.323,59.11,1
Kab. Bandung,Katapang,-6.932568442989956,107.53456483937224,False,Jasa,2023,5,1,72.8,139650,9749.8,6.37,6.69,11.16,79.9,61.0,2,5.54,31.6,0.271,0.323,59.11,1
Kab. Bandung,Katapang,-6.926170786062374,107.5358110067446,False,Fashion,2022,4,1,105.05,139650,9749.8,6.37,6.69,11.16,79.9,61.0,2,5.54,31.6,0.271,0.323,59.11,1
Kab. Bandung,Katapang,-6.9254534608713625,107.5536055805953,False,Fashion,2024,6,1,85.6,139650,9749.8,6.37,6.69,11.16,79.9,61.0,2,5.54,31.6,0.271,0.323,59.11,1
Kab. Bandung,Katapang,-6.923266450228523,107.55146410590076,False,Jasa,2021,2,1,72.18,139650,9749.8,6.37,6.69,11.16,79.9,61.0,2,5.54,31.6,0.271,0.323,59.11,1
Kab. Bandung,Katapang,-6.918535608051146,107.54337967872527,False,Kerajinan,2010,2,1,43.28,139650,9749.8,6.37,6.69,11.16,79.9,61.0,2,5.54,31.6,0.271,0.323,59.11,0
Kab. Bandung,Katapang,-6.9334849892638255,107.54096348239065,False,Fashion,2023,1,1,126.92,139650,9749.8,6.37,6.69,11.16,79.9,61.0,2,5.54,31.6,0.271,0.323,59.11,0
Kab. Bandung,Katapang,-6.921075661022501,107.54937266871897,False,Kerajinan,2022,4,0,41.71,139650,9749.8,6.37,6.69,11.16,79.9,61.0,2,5.54,31.6,0.271,0.323,51.52,1
Kab. Bandung,Dayeuhkolot,-7.038715436111931,107.54433751504298,False,Jasa,2017,23,0,64.86,61792,9823.0,15.0,3.9,2.66,76.7,76.8,8,2.85,28.3,0.166,0.334,74.61,1
Kab. Bandung,Dayeuhkolot,-7.0259061517429275,107.54620400780354,False,Makanan,2020,7,0,44.06,61792,9823.0,15.0,3.9,2.66,76.7,76.8,8,2.85,28.3,0.166,0.334,74.61,0
Kab. Bandung,Dayeuhkolot,-7.0346679738778315,107.54754147281663,False,Fashion,2011,1,0,138.33,61792,9823.0,15.0,3.9,2.66,76.7,76.8,8,2.85,28.3,0.166,0.334,74.61,1
Kab. Bandung,Dayeuhkolot,-7.024591582979494,107.53835266426077,False,Jasa,2012,1,1,70.89,61792,9823.0,15.0,3.9,2.66,76.7,76.8,8,2.85,28.3,0.166,0.334,82.2,1
Kab. Bandung,Dayeuhkolot,-7.0379597443273205,107.54350839843671,False,Makanan,2019,6,0,40.97,61792,9823.0,15.0,3.9,2.66,76.7,76.8,8,2.85,28.3,0.166,0.334,74.61,1
