index,actual_skor_potensi,predicted_skor_potensi,kabupaten_kota,kecamatan,residual
9513,57.65,57.668293,Kab. Bandung Barat,Parongpong,-0.018292999267579546
9435,47.21,47.162594,Kab. Pangandaran,Mangunjaya,0.04740615844726648
8198,72.42,72.34248,Kab. Subang,Ciasem,0.0775164794921892
1541,91.16,91.18855,Kota Bandung,Panyileukan,-0.02855285644531591
1031,87.57,87.63285,Kota Bandung,Babakan Ciparay,-0.06285064697266307
5923,27.38,27.465122,Kab. Garut,Banyuresmi,-0.08512222290039162
5179,63.3,63.292984,Kota Cirebon,Pekalipan,0.007015991210934658
2272,59.88,59.8277,Kab. Bogor,Ciampea,0.05229843139648693
5540,29.88,29.820295,Kab. Sukabumi,Kabandungan,0.05970466613769432
8867,54.2,54.242672,Kab. Karawang,Telukjambe Barat,-0.04267196655273153
2913,76.93,77.00223,Kab. Bekasi,Bojongmangu,-0.07222778320311818
823,69.43,67.339264,Kota Bandung,Andir,2.090736083984382
2287,59.88,59.747997,Kab. Bogor,Ciampea,0.13200271606445568
8854,50.71,50.719593,Kab. Karawang,Kotabaru,-0.009593048095702272
8121,23.87,23.791737,Kab. Subang,Cipunagara,0.07826339721679787
596,69.23,69.27276,Kab. Bandung,Soreang,-0.04275848388671477
3174,74.18,74.14074,Kota Bekasi,Rawalumbu,0.03926055908203807
8608,51.31,50.83738,Kab. Purwakarta,Darangdan,0.472620544433596
3825,83.35,83.32324,Kota Depok,Limo,0.026757812499994316
8797,51.05,51.031376,Kab. Karawang,Klari,0.018624114990231533
3008,70.67,70.75716,Kab. Bekasi,Tambelang,-0.0871563720703108
8850,43.12,43.243015,Kab. Karawang,Kotabaru,-0.12301528930664318
6130,41.94,41.996784,Kab. Garut,Pamulihan,-0.0567842102050804
3902,41.92,41.931232,Kab. Tasikmalaya,Cisayong,-0.01123245239257642
736,88.6,88.40942,Kota Bandung,Coblong,0.19058380126952557
7384,49.56,49.4513,Kab. Sumedang,Rancakalong,0.10869842529297102
2594,48.34,48.321083,Kota Bogor,Bogor Barat,0.01891693115234716
9069,53.57,53.448067,Kab. Karawang,Lemahabang,0.12193328857421903
6190,40.92,40.91671,Kab. Garut,Banjarwangi,0.0032901000976579553
6354,25.2,25.175728,Kab. Ciamis,Sadananya,0.02427215576171804
9474,57.69,57.776203,Kab. Bandung Barat,Lembang,-0.0862031555175804
8609,58.91,59.150173,Kab. Purwakarta,Darangdan,-0.24017318725586279
3161,74.18,74.143166,Kota Bekasi,Rawalumbu,0.03683441162110057
1186,80.01,80.00473,Kota Bandung,Cibiru,0.005269775390630116
9403,37.76,37.946953,Kab. Pangandaran,Cimerak,-0.18695281982422074
1385,77.21,77.25067,Kota Bandung,Bandung Kidul,-0.04067138671875625
7231,34.12,34.122276,Kab. Majalengka,Cingambul,-0.002276306152346308
2129,83.33,83.52663,Kab. Bogor,Jasinga,-0.1966265869140642
9795,46.3,46.339653,Kab. Bandung Barat,Cipatat,-0.03965301513672159
5470,18.74,18.88716,Kab. Sukabumi,Gegerbitung,-0.14715934753418125
7838,57.95,57.832626,Kab. Indramayu,Kertasemaya,0.11737365722656534
6240,38.78,38.63197,Kab. Garut,Pasirwangi,0.14803054809570426
2172,86.98,86.897606,Kab. Bogor,Parungpanjang,0.08239410400391023
869,72.21,72.16413,Kota Bandung,Cidadap,0.0458688354492125
9037,36.63,36.642254,Kab. Karawang,Cilamaya Wetan,-0.012253875732419317
6688,16.16,16.093029,Kab. Kuningan,Darma,0.06697097778320327
1938,69.71,69.627045,Kab. Bogor,Leuwiliang,0.08295532226561875
2203,34.57,34.580246,Kab. Bogor,Rumpin,-0.010245971679687216
960,84.92,85.09268,Kota Bandung,Astana Anyar,-0.1726818847656233
5669,26.83,26.790972,Kab. Sukabumi,Bojonggenteng,0.03902824401855298
5280,35.39,35.430386,Kab. Sukabumi,Cibadak,-0.04038558959960881
4633,60.58,60.689156,Kab. Cirebon,Gempol,-0.10915557861328296
1915,81.47,81.691605,Kab. Bogor,Bojonggede,-0.22160461425781364
7774,37.79,37.860447,Kab. Indramayu,Kroya,-0.07044692993164148
9823,86.76,86.74651,Kota Cimahi,Cimahi Utara,0.013486633300786366
1739,75.13,75.107315,Kab. Bogor,Ciawi,0.022684936523432953
9758,50.36,50.383686,Kab. Bandung Barat,Gununghalu,-0.023686065673828693
4347,55.89,55.891422,Kota Tasikmalaya,Bungursari,-0.0014222717285150566
9397,30.16,30.078672,Kab. Pangandaran,Cimerak,0.08132759094238295
1412,98.4,98.41783,Kota Bandung,Margacinta,-0.017831420898431816
6847,15.6,15.596573,Kab. Kuningan,Kalimanggis,0.0034271240234371447
4388,62.53,62.49141,Kota Tasikmalaya,Tamansari,0.03859069824218864
825,73.98,74.042564,Kota Bandung,Sukajadi,-0.06256439208983977
6470,36.08,36.063526,Kab. Ciamis,Jatinagara,0.01647384643554517
7017,47.91,47.823772,Kab. Majalengka,Kasokandel,0.08622756958007471
6473,36.39,35.569157,Kab. Ciamis,Cipaku,0.8208433532714849
6241,31.18,31.191402,Kab. Garut,Pasirwangi,-0.01140243530273466
9319,55.82,55.824154,Kab. Karawang,Tirtajaya,-0.004153900146484091
8802,58.65,59.1075,Kab. Karawang,Klari,-0.4574981689453139
7876,54.78,54.842987,Kab. Indramayu,Bongas,-0.06298706054687386
7325,43.44,43.429077,Kab. Sumedang,Sumedang Selatan,0.010922851562497726
4961,52.31,52.35105,Kab. Cirebon,Dukupuntang,-0.041051330566403976
8148,48.52,48.47715,Kab. Subang,Pagaden,0.042850036621096876
8011,49.57,49.533836,Kab. Indramayu,Lelea,0.036163635253906534
5520,58.49,58.43519,Kab. Sukabumi,Ciracap,0.05481170654297074
2534,54.19,54.1931,Kota Bogor,Bogor Timur,-0.0030999755859397737
3583,84.88,84.910324,Kota Depok,Cilodong,-0.030324096679692047
5710,37.31,37.229996,Kab. Sukabumi,Cidadap,0.08000427246093977
816,77.03,76.993546,Kota Bandung,Andir,0.03645446777343864
7983,37.99,38.027916,Kab. Indramayu,Cantigi,-0.03791595458984176
3235,82.26,82.319084,Kota Bekasi,Bantar Gebang,-0.059084167480463634
6925,34.3,34.157497,Kab. Kuningan,Sindangagung,0.14250259399413778
949,96.31,96.29458,Kota Bandung,Regol,0.015421447753908524
6695,16.16,16.025944,Kab. Kuningan,Darma,0.13405624389648452
4222,75.58,75.68107,Kab. Tasikmalaya,Kadipaten,-0.10106842041015796
3031,42.29,42.398556,Kab. Bekasi,Sukawangi,-0.10855575561523523
644,81.75,81.72587,Kab. Bandung,Rancabali,0.02413177490234375
1548,91.16,91.1886,Kota Bandung,Panyileukan,-0.02859863281250341
8565,59.45,59.53202,Kab. Purwakarta,Campaka,-0.08202056884765341
6789,31.74,31.778215,Kab. Kuningan,Subang,-0.038215408325196876
2479,72.53,72.4086,Kab. Bogor,Pamijahan,0.12140014648437614
3557,82.06,82.069756,Kota Depok,Sukmajaya,-0.009755554199216476
2691,66.26,66.1195,Kab. Bekasi,Cikarang Utara,0.14050079345703637
4928,55.96,55.911736,Kab. Cirebon,Jamblang,0.0482644653320321
5138,71.24,71.36169,Kota Cirebon,Kesambi,-0.12168670654297387
7666,51.51,51.281307,Kab. Indramayu,Jatibarang,0.22869277954101364
1108,80.93,80.92401,Kota Bandung,Batununggal,0.005988769531256821
1286,88.39,88.400444,Kota Bandung,Rancasari,-0.010444030761718182
6338,44.46,44.853924,Kab. Ciamis,Cikoneng,-0.393923797607421
137,51.25,51.343887,Kab. Bandung,Banjaran,-0.0938873291015625
8976,67.75,67.770874,Kab. Karawang,Cilamaya Kulon,-0.0208740234375
23,68.53,68.540276,Kab. Bandung,Cimenyan,-0.010275573730467613
9754,64.24,64.26533,Kab. Bandung Barat,Sindangkerta,-0.025327453613286366
452,40.17,40.151047,Kab. Bandung,Rancaekek,0.018953247070314205
1238,82.33,82.29569,Kota Bandung,Cinambo,0.034307556152342045
8164,65.2,64.952324,Kab. Subang,Pagaden Barat,0.2476760864257841
4416,74.57,74.544014,Kota Tasikmalaya,Kawalu,0.02598602294921193
7676,44.11,44.210308,Kab. Indramayu,Lohbener,-0.10030807495117244
7097,31.41,31.544737,Kab. Majalengka,Rajagaluh,-0.13473686218261705
1801,63.07,63.07332,Kab. Bogor,Ciomas,-0.0033184814453122158
1378,84.8,84.80078,Kota Bandung,Bandung Kidul,-0.0007812500000028422
6147,16.23,17.798697,Kab. Garut,Singajaya,-1.5686965179443355
3077,91.43,91.43485,Kota Bekasi,Bekasi Timur,-0.004852600097649429
4069,41.49,41.5204,Kab. Tasikmalaya,Cikalong,-0.03040100097656051
4444,65.73,65.790344,Kota Tasikmalaya,Cibeureum,-0.06034423828124602
6562,43.21,43.168106,Kab. Ciamis,Banjarsari,0.04189392089843835
7742,54.76,54.764767,Kab. Indramayu,Anjatan,-0.0047666931152363645
431,47.76,47.766705,Kab. Bandung,Rancaekek,-0.0067045593261738645
5376,30.52,30.546244,Kab. Sukabumi,Jampangtengah,-0.02624366760253949
3577,92.47,92.47358,Kota Depok,Cilodong,-0.003579406738282387
4517,56.46,56.474457,Kab. Cirebon,Depok,-0.014456787109374147
4367,55.89,55.88481,Kota Tasikmalaya,Bungursari,0.0051885986328130684
1388,84.8,84.77681,Kota Bandung,Bandung Kidul,0.023190307617184658
3203,70.95,70.89691,Kota Bekasi,Medan Satria,0.05308837890625284
4796,43.93,43.84686,Kab. Cirebon,Susukanlebak,0.08314102172851534
6621,34.82,34.90438,Kab. Kuningan,Luragung,-0.08438079833984347
3004,70.67,70.67724,Kab. Bekasi,Tambelang,-0.007238464355467045
1010,77.32,77.31963,Kota Bandung,Bojongloa Kaler,0.0003665161132744288
6741,44.02,44.071373,Kab. Kuningan,Pasawahan,-0.051372985839840624
3094,83.84,83.88038,Kota Bekasi,Bekasi Timur,-0.04037872314452784
1047,73.88,73.89968,Kota Bandung,Kiaracondong,-0.019681091308598297
1970,60.1,60.12333,Kab. Bogor,Nanggung,-0.02332916259765483
4394,70.13,70.145485,Kota Tasikmalaya,Tamansari,-0.015484924316410797
1192,72.42,72.14388,Kota Bandung,Cibiru,0.27611724853515796
2672,62.17,62.157734,Kab. Bekasi,Cikarang Barat,0.01226608276367358
649,74.16,74.200325,Kab. Bandung,Rancabali,-0.04032501220703466
4187,59.13,57.875683,Kab. Tasikmalaya,Bojongasih,1.2543171691894557
9565,76.55,76.588524,Kab. Bandung Barat,Cisarua,-0.03852386474609659
6623,34.82,34.867397,Kab. Kuningan,Luragung,-0.04739730834960909
9762,50.36,50.410866,Kab. Bandung Barat,Gununghalu,-0.05086578369140682
809,96.21,96.205284,Kota Bandung,Cicendo,0.004715881347649997
7801,51.73,51.77362,Kab. Indramayu,Terisi,-0.043620605468753126
2168,86.98,86.87157,Kab. Bogor,Parungpanjang,0.10843322753906648
7220,41.72,41.6542,Kab. Majalengka,Cingambul,0.06579849243163949
6699,16.16,16.038168,Kab. Kuningan,Darma,0.1218320465087892
6854,15.6,15.588078,Kab. Kuningan,Kalimanggis,0.01192245483398402
4672,64.0,64.198715,Kab. Cirebon,Astanajapura,-0.1987152099609375
6462,39.85,40.31668,Kab. Ciamis,Panjalu,-0.4666809082031236
7223,34.12,34.10217,Kab. Majalengka,Cingambul,0.017830963134763067
7269,69.11,69.178024,Kab. Majalengka,Ligung,-0.06802429199218807
9277,50.88,50.88471,Kab. Karawang,Cilebar,-0.004708404541013067
11,62.99,62.99765,Kab. Bandung,Cileunyi,-0.0076501464843730105
4634,60.58,60.675766,Kab. Cirebon,Gempol,-0.0957659912109392
5311,29.04,28.940325,Kab. Sukabumi,Cisaat,0.09967521667480383
9492,57.65,57.65558,Kab. Bandung Barat,Parongpong,-0.005578613281251421
9051,44.22,44.216705,Kab. Karawang,Cilamaya Wetan,0.003294677734373863
4448,73.32,73.30016,Kota Tasikmalaya,Cibeureum,0.01983673095702443
1968,67.69,67.69014,Kab. Bogor,Nanggung,-0.00013977050781477374
415,40.17,40.183285,Kab. Bandung,Rancaekek,-0.01328475952148267
4742,48.44,48.50851,Kab. Cirebon,Kaliwedi,-0.06851058959961165
6618,54.15,54.104954,Kab. Kuningan,Kadugede,0.045046234130857954
830,73.98,73.97204,Kota Bandung,Sukajadi,0.007961730957035229
8611,58.91,59.13883,Kab. Purwakarta,Darangdan,-0.22882827758789404
44,53.96,53.993584,Kab. Bandung,Cilengkrang,-0.0335836791992179
3062,59.75,59.954765,Kab. Bekasi,Karangsentosa,-0.20476531982421875
497,53.23,53.061043,Kab. Bandung,Nagreg,0.16895721435546562
4020,28.81,28.865778,Kab. Tasikmalaya,Sodonghilir,-0.05577796936035284
3472,64.73,64.69315,Kota Depok,Pancoran Mas,0.03684661865234773
9363,58.06,57.982563,Kab. Karawang,Telagasari,0.07743698120117415
9917,68.59,68.603584,Kota Cimahi,Cimahi Selatan,-0.01358428955077784
9105,81.26,81.30151,Kab. Karawang,Majalaya,-0.041513671874994884
1030,79.98,79.57972,Kota Bandung,Babakan Ciparay,0.40028045654297273
8680,56.88,56.884266,Kab. Purwakarta,Sukatani,-0.004265899658200567
8866,54.2,54.255596,Kab. Karawang,Telukjambe Barat,-0.05559616088866903
1675,52.11,52.092655,Kab. Bogor,Sukamakmur,0.017344818115233807
6919,26.71,26.726423,Kab. Kuningan,Sindangagung,-0.016423263549803835
3356,86.59,86.611244,Kota Bekasi,Mustika Jaya,-0.02124420166015284
7732,43.76,43.539192,Kab. Indramayu,Patrol,0.22080780029296676
6993,10.6,10.599599,Kab. Majalengka,Kertajati,0.0004011154174801135
1356,77.49,77.51781,Kota Bandung,Buahbatu,-0.027807006835942616
8908,58.85,58.920006,Kab. Karawang,Ciampel,-0.07000579833984233
5795,67.13,67.13044,Kota Sukabumi,Citamiang,-0.0004397583007857975
46,53.96,53.972603,Kab. Bandung,Cilengkrang,-0.012602844238280397
7686,38.76,38.71935,Kab. Indramayu,Losarang,0.040651092529294885
5082,56.18,55.985264,Kab. Cirebon,Gegesik,0.1947361755371091
6433,49.22,49.14587,Kab. Ciamis,Panawangan,0.07412979125976449
7621,59.37,59.38093,Kab. Sumedang,Buahdua,-0.010931854248049433
2451,62.94,62.976738,Kab. Bogor,Leuwisadeng,-0.036737976074221024
3458,72.32,72.36438,Kota Depok,Pancoran Mas,-0.04437988281250682
2880,56.27,56.485497,Kab. Bekasi,Kedungwaringin,-0.21549652099609062
9110,81.26,81.307724,Kab. Karawang,Majalaya,-0.047723999023432384
6076,22.8,22.857761,Kab. Garut,Caringin,-0.057761383056639914
8950,56.0,55.971233,Kab. Karawang,Tegalwaru,0.028766632080078125
1323,69.89,69.84308,Kota Bandung,Buahbatu,0.04692138671875057
8423,56.01,56.609436,Kab. Subang,Sagalaherang,-0.599436035156252
8212,80.01,80.07844,Kab. Subang,Ciasem,-0.06843780517577613
5783,86.16,86.16989,Kota Sukabumi,Cikole,-0.00989135742187841
3457,72.32,72.3429,Kota Depok,Pancoran Mas,-0.02290313720703807
9109,73.67,73.681244,Kab. Karawang,Majalaya,-0.011243896484373295
1302,88.39,88.42033,Kota Bandung,Rancasari,-0.03032623291015568
1772,80.22,80.26179,Kab. Bogor,Cisarua,-0.04178741455078239
5870,40.08,40.07392,Kota Sukabumi,Cibeureum,0.006078796386717045
6756,49.6,49.79354,Kab. Kuningan,Nusaherang,-0.19354095458984233
593,76.82,76.79854,Kab. Bandung,Soreang,0.02146179199218068
6541,36.76,36.12428,Kab. Ciamis,Cihaurbeuti,0.6357209777832011
6180,33.33,33.35938,Kab. Garut,Banjarwangi,-0.02937881469726733
2176,34.57,34.651867,Kab. Bogor,Rumpin,-0.08186691284179659
4001,18.98,19.565334,Kab. Tasikmalaya,Parungponteng,-0.585334320068359
3578,92.47,92.477615,Kota Depok,Cilodong,-0.007615356445313637
5929,27.38,27.446886,Kab. Garut,Banyuresmi,-0.06688606262207131
2884,48.68,48.32323,Kab. Bekasi,Kedungwaringin,0.3567692565917966
6365,13.37,13.273119,Kab. Ciamis,Cidolog,0.0968810272216789
9669,85.71,85.65413,Kab. Bandung Barat,Cihampelas,0.05587097167968125
4294,65.74,65.89412,Kota Tasikmalaya,Tawang,-0.15411926269531762
2327,77.99,78.00023,Kab. Bogor,Sukarata,-0.010228881835942616
5844,40.08,40.060337,Kota Sukabumi,Cibeureum,0.01966293334960767
108,51.52,51.381832,Kab. Bandung,Katapang,0.13816787719726875
1821,64.99,64.93276,Kab. Bogor,Kemang,0.057237854003901134
2569,48.34,48.322414,Kota Bogor,Bogor Barat,0.017585601806644036
1502,88.36,88.35792,Kota Bandung,Cibeunying Kidul,0.0020822143554681816
7277,69.11,69.15424,Kab. Majalengka,Ligung,-0.04424346923828182
9219,64.46,64.558,Kab. Karawang,Jayakerta,-0.09799865722656875
195,78.89,78.87635,Kab. Bandung,Pangalengan,0.013649597167969318
3143,94.53,94.469864,Kota Bekasi,Bekasi Selatan,0.06013610839843864
9044,36.63,36.641247,Kab. Karawang,Cilamaya Wetan,-0.011246795654294317
2242,72.66,72.61987,Kab. Bogor,Cibungbulang,0.04012695312499659
8527,60.39,60.32499,Kab. Subang,Cikaum,0.06501068115234432
6620,34.82,34.837547,Kab. Kuningan,Luragung,-0.017547302246093466
9778,47.54,47.609493,Kab. Bandung Barat,Saguling,-0.06949325561523523
3741,84.0,84.0142,Kota Depok,Bojongsari,-0.01419830322265625
2490,75.66,75.68197,Kab. Bogor,Ciseeng,-0.02196868896484716
9577,84.15,84.153885,Kab. Bandung Barat,Cisarua,-0.0038848876953068157
1225,89.93,89.930405,Kota Bandung,Cinambo,-0.0004046630859306788
5947,19.78,19.770502,Kab. Garut,Banyuresmi,0.009497909545899574
2152,86.98,86.88329,Kab. Bogor,Parungpanjang,0.09670684814453523
6687,23.76,23.945356,Kab. Kuningan,Darma,-0.18535636901855312
9145,52.46,52.38295,Kab. Karawang,Rengasdengklok,0.07705017089843835
3056,59.75,60.045513,Kab. Bekasi,Karangsentosa,-0.2955131530761719
1194,80.01,79.99788,Kota Bandung,Cibiru,0.012120971679692616
4261,50.46,50.55572,Kota Tasikmalaya,Cihideung,-0.09572128295898352
6174,33.33,33.37255,Kab. Garut,Banjarwangi,-0.042550964355470455
3439,75.21,75.365974,Kota Depok,Beji,-0.1559744262695375
9561,84.15,84.15577,Kab. Bandung Barat,Cisarua,-0.005769348144525566
1855,55.05,55.05281,Kab. Bogor,Rancabungur,-0.002810668945315342
2640,65.48,65.503555,Kota Bogor,Tanah Sareal,-0.02355529785155852
5464,29.31,31.124458,Kab. Sukabumi,Nyalindung,-1.8144583129882825
7458,39.47,39.41223,Kab. Sumedang,Cimalaka,0.05776855468749886
3527,74.47,74.45089,Kota Depok,Sukmajaya,0.019110412597655113
7447,47.07,47.183872,Kab. Sumedang,Cimalaka,-0.11387222290039034
3434,82.8,82.74623,Kota Depok,Beji,0.05376892089843466
2796,58.29,58.29792,Kab. Bekasi,Tambun Selatan,-0.007920227050782103
8690,77.26,77.27298,Kab. Purwakarta,Tegalwaru,-0.012979736328119884
7099,39.01,38.962494,Kab. Majalengka,Rajagaluh,0.04750610351562301
4498,56.16,56.223915,Kab. Cirebon,Weru,-0.06391510009765966
8640,57.91,57.813896,Kab. Purwakarta,Pasawahan,0.09610382080077784
2931,69.33,69.228836,Kab. Bekasi,Bojongmangu,0.1011639404296858
1254,89.93,89.932434,Kota Bandung,Cinambo,-0.002434082031243179
9036,44.22,44.19454,Kab. Karawang,Cilamaya Wetan,0.025461883544920738
267,82.1,82.06427,Kab. Bandung,Ibun,0.035729980468744316
5055,58.34,58.369904,Kab. Cirebon,Karangwareng,-0.02990356445312159
477,40.17,40.177498,Kab. Bandung,Rancaekek,-0.007497863769529545
6816,37.26,37.407856,Kab. Kuningan,Cibingbin,-0.14785598754883011
368,59.88,59.87484,Kab. Bandung,Solokanjeruk,0.005160217285158808
7185,60.14,60.149944,Kab. Majalengka,Argapura,-0.009944305419921307
2469,80.13,80.167336,Kab. Bogor,Pamijahan,-0.0373355102539108
2729,70.2,70.19463,Kab. Bekasi,Cikarang Selatan,0.005366516113284092
1405,98.4,98.43857,Kota Bandung,Margacinta,-0.038568115234369316
7240,49.34,49.366066,Kab. Majalengka,Sindang,-0.02606597900390284
5175,70.9,70.771385,Kota Cirebon,Pekalipan,0.12861480712891193
1431,84.66,84.59056,Kota Bandung,Sukasari,0.06943908691405909
2153,79.38,79.42907,Kab. Bogor,Parungpanjang,-0.0490695190429733
9196,52.64,52.740337,Kab. Karawang,Pakisjaya,-0.1003373718261713
5807,46.3,46.29027,Kota Sukabumi,Baros,0.009728240966794033
9298,78.38,78.2875,Kab. Karawang,Tirtamulya,0.0925015258789017
5647,51.47,51.43192,Kab. Sukabumi,Cikembar,0.03808090209960824
8675,56.88,56.89043,Kab. Purwakarta,Sukatani,-0.010430450439450567
6389,33.04,33.096157,Kab. Ciamis,Rajadesa,-0.05615707397461023
5762,78.57,78.53729,Kota Sukabumi,Cikole,0.03270751953124318
8480,62.69,62.609936,Kab. Subang,Cipeundeuy,0.08006423950195085
7680,44.11,44.139404,Kab. Indramayu,Lohbener,-0.02940429687500057
4272,71.71,70.5888,Kota Tasikmalaya,Cipedes,1.121201477050775
9804,86.76,86.74777,Kota Cimahi,Cimahi Utara,0.012227783203130116
3128,77.79,77.91304,Kota Bekasi,Bekasi Utara,-0.12304016113280625
7098,39.01,38.99389,Kab. Majalengka,Rajagaluh,0.01611114501952926
8689,69.66,69.57713,Kab. Purwakarta,Tegalwaru,0.08286682128905909
5609,24.85,24.837162,Kab. Sukabumi,Kalibunder,0.012837982177735796
9971,69.09,69.13442,Kota Banjar,Pataruman,-0.04442230224609034
3241,89.86,89.776344,Kota Bekasi,Bantar Gebang,0.08365570068359318
3852,29.69,30.541716,Kab. Tasikmalaya,Singaparna,-0.8517156219482409
4034,35.9,36.27478,Kab. Tasikmalaya,Puspahiang,-0.3747802734375014
3508,82.06,82.08374,Kota Depok,Sukmajaya,-0.023740234374997726
9493,57.65,57.6591,Kab. Bandung Barat,Parongpong,-0.009099578857423296
1665,59.7,59.8881,Kab. Bogor,Sukamakmur,-0.1880996704101534
4368,48.29,48.331852,Kota Tasikmalaya,Bungursari,-0.04185195922851648
4947,44.72,44.692944,Kab. Cirebon,Dukupuntang,0.027056427001951988
5252,10.26,10.249173,Kab. Sukabumi,Cidahu,0.010826835632324006
8731,54.31,54.056683,Kab. Purwakarta,Bojong,0.2533174133300804
3109,76.1,76.23344,Kota Bekasi,Bekasi Barat,-0.13343658447266193
8361,37.08,36.91195,Kab. Subang,Sukasari,0.16805084228515454
5956,45.25,45.244484,Kab. Garut,Bayongbong,0.00551605224609375
506,60.82,60.82094,Kab. Bandung,Nagreg,-0.0009381103515622158
1795,79.94,80.19008,Kab. Bogor,Dramaga,-0.2500787353515648
9582,66.78,66.65904,Kab. Bandung Barat,Cikalongwetan,0.12095764160156364
5439,27.52,27.647259,Kab. Sukabumi,Purabaya,-0.1272587585449223
4335,48.29,48.329597,Kota Tasikmalaya,Bungursari,-0.0395974731445321
4918,42.11,42.103985,Kab. Cirebon,Greged,0.0060151672363275566
1989,67.69,67.66511,Kab. Bogor,Nanggung,0.024892272949216476
8991,67.75,67.77516,Kab. Karawang,Cilamaya Kulon,-0.0251617431640625
5569,36.95,37.11484,Kab. Sukabumi,Caringin,-0.16484146118163778
6253,31.95,31.895658,Kab. Garut,Sukawening,0.0543415069580071
7526,59.64,60.037933,Kab. Sumedang,Wado,-0.39793334960937443
2030,37.38,37.401794,Kab. Bogor,Cigudeg,-0.021794433593747442
287,82.1,82.109276,Kab. Bandung,Ibun,-0.009275817871099434
7856,47.19,47.114246,Kab. Indramayu,Bongas,0.0757536315917946
3803,75.76,75.77777,Kota Depok,Limo,-0.017770996093744884
4576,50.01,50.00628,Kab. Cirebon,Klangenan,0.0037210083007792605
2089,61.01,61.00271,Kab. Bogor,Tenjo,0.0072915649414042605
323,47.45,47.510845,Kab. Bandung,Paseh,-0.06084518432616903
9173,58.34,58.327126,Kab. Karawang,Batujaya,0.01287445068359716
4938,63.56,63.62039,Kab. Cirebon,Jamblang,-0.060391845703122726
8806,50.0,49.936745,Kab. Karawang,Cikampek,0.06325531005859375
9683,50.78,50.741745,Kab. Bandung Barat,Cililin,0.03825500488281364
4892,51.86,51.82449,Kab. Cirebon,Talun,0.03551040649414006
5431,25.63,25.680727,Kab. Sukabumi,Pabuaran,-0.05072700500488381
5865,47.67,47.6773,Kota Sukabumi,Cibeureum,-0.007299499511717045
5413,25.63,25.688972,Kab. Sukabumi,Pabuaran,-0.058972473144532245
7762,50.37,50.46838,Kab. Indramayu,Haurgeulis,-0.09837997436523693
1724,75.13,75.08916,Kab. Bogor,Ciawi,0.04084289550780795
9368,37.87,37.810154,Kab. Karawang,Banyusari,0.05984603881835682
6172,40.92,40.92972,Kab. Garut,Banjarwangi,-0.00972183227538892
295,82.1,82.06391,Kab. Bandung,Ibun,0.036088562011713066
7850,47.19,47.109966,Kab. Indramayu,Bongas,0.08003372192382585
7014,55.51,55.773045,Kab. Majalengka,Kasokandel,-0.2630445861816426
9974,69.09,69.137146,Kota Banjar,Pataruman,-0.04714599609374659
6556,44.94,44.88705,Kab. Ciamis,Lumbung,0.05294937133788835
688,67.98,67.98467,Kab. Bandung,Cangkuang,-0.004672546386714771
6988,10.6,10.60213,Kab. Majalengka,Kertajati,-0.002129936218262074
4185,51.53,51.46054,Kab. Tasikmalaya,Bojongasih,0.06945922851562614
7899,46.94,47.051884,Kab. Indramayu,Juntinyuat,-0.1118836975097679
7994,62.9,62.928688,Kab. Indramayu,Arahan,-0.02868804931640767
5185,66.91,66.929085,Kota Cirebon,Kejaksan,-0.01908477783203466
