kabupaten_kota,kecamatan,latitude,longitude,is_kota,populasi,kepadatan_penduduk,income_per_kapita,jarak_ke_jalan_utama,jarak_ke_pasar,akses_internet_pct,skor_infrastruktur,jumlah_kompetitor_radius_3km,jarak_ke_bank_terdekat,penetrasi_kur_pct,risiko_banjir,risiko_gempa
Kab. Bandung,Soreang,-6.904866,107.634021,False,327689,4575.8,8.83,0.81,1.58,79.4,86.8,7,1.19,32.3,0.22,0.156
Kab. Bandung,Kutawaringin,-6.90968,107.653172,False,102534,8024.4,14.51,0.1,8.24,79.0,80.0,0,7.73,37.6,0.155,0.157
Kab. Bandung,Ciwidey,-6.964336,107.6575,False,120664,1771.2,11.35,11.67,3.18,63.9,51.8,0,7.46,44.2,0.184,0.329
Kab. Bandung,Rancabali,-7.045841,107.541357,False,166330,14120.9,15.0,0.2,0.2,56.4,79.6,2,2.82,35.6,0.197,0.427
Kab. Bandung,Pasirjambu,-7.052764,107.562053,False,60700,915.1,6.28,0.13,5.11,77.4,83.1,2,4.61,25.2,0.074,0.481
Kab. Bandung,Cangkuang,-6.997812,107.553416,False,500000,42990.7,8.88,0.1,7.25,73.6,78.8,16,4.92,38.4,0.203,0.181
Kota Bandung,Coblong,-6.857402,107.587081,True,90643,8120.2,13.73,2.34,1.8,81.4,83.8,0,3.06,29.0,0.284,0.301
Kota Bandung,Bandung Wetan,-6.94505,107.616831,True,322386,27493.3,10.0,10.51,3.03,87.3,65.3,8,0.34,41.4,0.246,0.292
Kota Bandung,Sumur Bandung,-6.967452,107.658352,True,71573,9604.0,8.91,0.57,5.9,80.2,82.4,0,3.5,30.8,0.14,0.192
Kota Bandung,Cicendo,-6.978072,107.687902,True,94653,8087.9,15.0,0.67,1.62,90.8,92.2,9,1.11,31.8,0.238,0.194
Kota Bandung,Andir,-6.866441,107.561795,True,74227,7343.3,9.41,3.97,4.96,80.3,75.4,0,1.5,35.5,0.188,0.306
Kota Bandung,Sukajadi,-6.989116,107.660474,True,322759,30510.2,8.14,0.39,0.56,89.7,93.7,9,4.14,35.8,0.257,0.241
Kota Bandung,Cidadap,-6.876903,107.646641,True,277678,19964.8,9.69,0.75,5.18,81.1,83.2,4,4.39,37.6,0.258,0.318
Kota Bandung,Lengkong,-6.866597,107.541847,True,212384,23843.8,9.61,0.24,0.86,57.8,79.4,13,0.33,27.9,0.231,0.196
Kota Bandung,Regol,-6.932645,107.548539,True,163546,17819.8,15.0,1.06,1.76,79.0,85.8,0,0.67,36.7,0.155,0.213
Kota Bandung,Astana Anyar,-6.851903,107.629728,True,93934,12210.4,12.94,1.83,0.58,94.0,92.2,3,0.86,20.7,0.123,0.205
Kota Bandung,Bojongloa Kaler,-6.937056,107.540169,True,389313,56403.6,8.31,2.07,0.34,93.9,91.8,16,0.65,30.4,0.142,0.241
Kota Bandung,Babakan Ciparay,-6.940243,107.582029,True,87190,22460.4,11.57,0.28,0.77,79.6,89.2,4,0.31,37.4,0.282,0.171
Kota Bandung,Bandung Kulon,-6.873263,107.632009,True,49553,3827.5,11.91,3.11,0.21,66.9,77.4,9,2.09,18.6,0.244,0.287
Kota Bandung,Kiaracondong,-6.848046,107.605554,True,285417,24859.3,6.67,0.1,1.56,76.8,87.4,3,1.26,35.0,0.119,0.335
Kota Bandung,Batununggal,-6.970865,107.644119,True,289255,33264.6,15.0,2.8,1.1,85.8,85.5,14,5.09,32.7,0.214,0.223
Kota Bandung,Antapani,-6.868274,107.619804,True,283583,21132.6,15.0,3.58,5.23,81.7,76.6,8,0.8,28.8,0.251,0.201
Kota Bandung,Arcamanik,-6.866645,107.609007,True,145249,39416.0,8.73,1.42,0.99,75.4,84.3,18,0.49,34.1,0.239,0.158
Kota Bandung,Cibiru,-6.906363,107.598407,True,186077,13098.0,7.93,2.4,5.14,93.5,84.9,0,1.16,27.9,0.268,0.24
Kota Bandung,Ujungberung,-6.985933,107.547263,True,129729,27139.3,11.29,1.26,0.57,87.0,90.4,4,0.21,36.4,0.227,0.194
Kota Bandung,Cinambo,-6.984971,107.631826,True,262565,19572.5,15.0,1.9,0.91,82.0,86.2,11,0.23,36.5,0.235,0.304
Kota Bandung,Mandalajati,-6.939703,107.611371,True,55345,5030.3,15.0,0.19,15.16,91.8,76.9,3,0.85,38.6,0.195,0.274
Kota Bandung,Gedebage,-6.844789,107.569887,True,98005,8844.3,13.8,0.47,16.59,87.7,72.6,0,2.97,45.0,0.191,0.329
Kota Bandung,Rancasari,-6.924339,107.650888,True,283199,34017.9,10.55,2.91,0.7,95.0,89.9,7,0.44,36.5,0.2,0.318
Kota Bandung,Buahbatu,-6.953392,107.542317,True,319843,24495.2,9.19,1.02,2.19,77.8,84.8,9,3.83,41.3,0.26,0.232
Kota Bandung,Bandung Kidul,-6.94364,107.555795,True,233121,22385.0,15.0,0.6,1.75,76.0,85.6,11,0.1,26.1,0.146,0.231
Kota Bandung,Margacinta,-6.841248,107.659299,True,175994,12419.0,13.64,3.06,0.51,91.5,88.2,0,0.89,37.7,0.265,0.196
Kota Bandung,Sukasari,-6.888655,107.669434,True,112399,10305.6,15.0,3.29,2.13,91.1,85.5,0,0.18,18.2,0.205,0.311
Kota Bandung,Cibeunying Kaler,-6.861412,107.559851,True,119918,11007.6,12.96,3.58,0.2,76.3,80.5,5,4.77,36.3,0.171,0.278
Kota Bandung,Cibeunying Kidul,-6.847191,107.616295,True,443676,35813.2,12.48,2.03,0.58,86.3,88.2,4,2.6,26.4,0.149,0.172
Kota Bandung,Panyileukan,-6.86081,107.673375,True,286486,36496.6,13.98,4.2,0.31,93.3,86.5,1,2.18,38.0,0.259,0.17
Kab. Bogor,Cibinong,-6.619119,106.727608,False,233039,19184.3,10.5,1.6,6.03,73.6,76.7,0,2.47,40.9,0.154,0.321
Kab. Bogor,Gunung Putri,-6.63353,106.778337,False,325454,73259.3,8.67,3.0,4.07,82.0,79.6,26,7.42,33.4,0.169,0.345
Kab. Bogor,Citeureup,-6.539118,106.847717,False,63005,5553.3,4.62,2.09,1.59,87.1,87.2,2,6.97,21.1,0.296,0.204
Kab. Bogor,Cileungsi,-6.668888,106.79172,False,50200,6712.2,7.54,5.82,1.34,62.4,67.4,0,2.6,29.9,0.108,0.291
Kab. Bogor,Jonggol,-6.603214,106.745537,False,132286,2263.9,6.13,4.16,7.62,74.8,69.1,7,9.97,18.8,0.19,0.17
Kab. Bogor,Cariu,-6.650822,106.764018,False,36255,2713.7,6.94,0.89,0.29,76.1,86.7,4,13.06,45.0,0.242,0.156
Kab. Bogor,Sukamakmur,-6.519134,106.761712,False,102240,14410.3,8.78,7.14,0.23,64.6,66.7,12,12.04,37.0,0.274,0.178
Kab. Bogor,Parung,-6.586994,106.822483,False,302340,32152.8,4.09,5.29,2.19,76.9,74.2,2,0.57,37.9,0.125,0.185
Kab. Bogor,Ciawi,-6.611819,106.865485,False,209220,18009.2,11.45,1.46,3.0,73.3,80.7,5,8.58,26.6,0.292,0.289
Kab. Bogor,Megamendung,-6.516008,106.750285,False,137392,9727.3,11.8,0.1,0.35,69.6,85.6,0,7.99,24.1,0.26,0.23
Kab. Bogor,Cisarua,-6.59044,106.758141,False,99784,4621.3,9.62,3.58,1.13,81.8,81.8,0,3.6,30.1,0.167,0.197
Kab. Bogor,Sukaraja,-6.624426,106.715902,False,78590,11751.9,5.91,1.34,5.48,73.5,78.0,2,1.37,39.8,0.196,0.26
Kab. Bogor,Dramaga,-6.57247,106.790429,False,47760,4626.1,11.3,2.75,3.05,83.7,82.2,4,0.35,24.0,0.226,0.201
Kab. Bogor,Ciomas,-6.661763,106.754583,False,101160,22668.4,4.98,0.25,0.43,61.7,81.6,7,8.23,45.0,0.29,0.184
Kab. Bogor,Tamansari,-6.524677,106.74833,False,65574,1334.6,9.97,10.74,2.94,76.6,60.0,3,0.56,21.7,0.293,0.153
Kab. Bogor,Kemang,-6.646817,106.788312,False,159516,26241.7,6.44,0.54,5.75,76.8,81.1,11,1.93,32.6,0.196,0.217
Kab. Bogor,Rancabungur,-6.512296,106.748729,False,370874,38621.8,9.81,3.66,9.39,63.4,63.0,22,1.03,39.5,0.19,0.264
Kab. Bogor,Tajurhalang,-6.562458,106.831859,False,147346,2723.4,8.11,7.12,6.67,69.3,60.7,0,17.06,24.3,0.187,0.233
Kab. Bogor,Bojonggede,-6.631978,106.826515,False,127683,23028.7,11.37,1.15,0.2,77.6,86.9,2,3.67,26.1,0.247,0.287
Kab. Bogor,Leuwiliang,-6.611155,106.811169,False,277629,20117.7,8.07,1.15,1.17,83.2,88.2,7,14.2,34.7,0.267,0.2
Kab. Bogor,Nanggung,-6.568635,106.795724,False,196745,31241.0,6.36,3.63,0.2,81.8,82.9,5,10.99,25.7,0.222,0.267
Kab. Bogor,Cigudeg,-6.655554,106.843648,False,451707,108939.0,6.96,4.28,1.7,81.8,79.4,40,2.87,18.0,0.174,0.247
Kab. Bogor,Tenjo,-6.618675,106.739843,False,500000,99677.6,5.57,1.51,0.69,89.4,90.7,29,4.0,28.6,0.163,0.178
Kab. Bogor,Jasinga,-6.663476,106.804543,False,118454,28553.1,11.33,0.34,8.06,77.2,78.8,5,1.68,42.5,0.143,0.171
Kab. Bogor,Parungpanjang,-6.56159,106.712654,False,229625,4543.9,14.61,0.5,3.06,71.2,82.0,0,5.39,29.8,0.237,0.282
Kab. Bogor,Rumpin,-6.588065,106.746239,False,287355,6076.5,4.14,5.52,8.38,61.4,58.9,5,25.0,24.9,0.29,0.296
Kab. Bogor,Gunung Sindur,-6.566772,106.737899,False,207697,26452.2,7.48,0.89,0.2,89.4,92.9,7,0.7,23.1,0.11,0.327
Kab. Bogor,Cibungbulang,-6.55945,106.771878,False,232608,15616.4,13.4,3.04,9.8,72.0,67.8,1,0.96,39.1,0.273,0.239
Kab. Bogor,Ciampea,-6.520123,106.732003,False,137718,2618.5,6.36,3.18,0.51,71.9,79.1,9,14.39,26.8,0.217,0.345
Kab. Bogor,Tenjolaya,-6.615429,106.728156,False,62893,8663.1,6.19,3.31,2.61,56.8,69.4,0,21.2,35.1,0.206,0.331
Kab. Bogor,Babakan Madang,-6.522049,106.850374,False,71135,1061.4,7.84,1.23,0.58,78.7,86.7,0,2.48,29.1,0.117,0.188
Kab. Bogor,Sukarata,-6.628729,106.815597,False,222375,3880.4,8.49,1.6,0.56,80.1,86.5,4,0.7,34.3,0.188,0.267
Kab. Bogor,Klapanunggal,-6.539244,106.798832,False,66810,6055.1,5.43,7.75,20.0,52.8,35.1,0,0.92,39.5,0.263,0.348
Kab. Bogor,Tanjungsari,-6.585256,106.748696,False,246385,20937.3,15.0,2.63,6.71,69.0,71.4,8,2.26,37.0,0.178,0.159
Kab. Bogor,Caringin,-6.655104,106.853555,False,139238,9608.3,6.63,1.99,5.66,63.2,71.6,0,3.19,26.6,0.26,0.271
Kab. Bogor,Cijeruk,-6.525933,106.811296,False,64582,1296.1,10.27,4.95,2.14,70.7,72.3,4,25.0,30.6,0.14,0.249
Kab. Bogor,Cigombong,-6.615755,106.765874,False,293240,7800.6,6.9,0.61,5.02,59.5,74.0,0,4.06,28.0,0.248,0.304
Kab. Bogor,Leuwisadeng,-6.553847,106.853538,False,103323,21396.5,5.27,4.18,5.63,78.6,73.3,10,3.36,41.6,0.2,0.211
Kab. Bogor,Pamijahan,-6.528066,106.83478,False,169531,12937.0,13.94,2.09,5.26,81.5,80.1,9,8.35,23.6,0.295,0.283
Kab. Bogor,Ciseeng,-6.567275,106.723462,False,85722,7106.1,9.69,3.64,1.02,89.2,85.1,6,14.38,35.9,0.182,0.206
Kota Bogor,Bogor Utara,-6.654139,106.863769,True,155333,2543.6,9.94,8.34,1.25,59.3,60.1,2,4.87,34.0,0.246,0.198
Kota Bogor,Bogor Selatan,-6.582971,106.721472,True,58227,1516.0,5.37,0.61,19.62,65.8,58.6,0,11.04,25.3,0.134,0.256
Kota Bogor,Bogor Timur,-6.663765,106.82616,True,119058,3415.4,10.32,3.93,4.54,59.0,66.5,0,2.36,20.1,0.158,0.276
Kota Bogor,Bogor Barat,-6.67919,106.745729,True,466138,50732.6,5.43,0.36,0.31,72.5,86.4,22,3.43,28.2,0.124,0.281
Kota Bogor,Bogor Tengah,-6.592203,106.830703,True,183237,13863.7,9.98,2.46,1.11,70.5,79.4,0,3.14,27.6,0.157,0.15
Kota Bogor,Tanah Sareal,-6.575686,106.755883,True,91149,1264.8,12.86,4.33,9.58,68.4,63.4,0,0.35,30.2,0.125,0.337
Kab. Bekasi,Cikarang Barat,-6.206051,106.95796,False,217137,32622.1,12.49,3.75,1.24,72.3,77.0,13,2.69,27.2,0.66,0.085
Kab. Bekasi,Cikarang Timur,-6.267936,107.039439,False,55249,918.2,6.74,1.64,5.55,79.5,79.9,0,3.52,35.8,0.634,0.141
Kab. Bekasi,Cikarang Utara,-6.216059,107.055876,False,129154,10035.5,9.0,1.84,5.44,74.8,77.5,0,3.09,38.0,0.691,0.106
Kab. Bekasi,Cikarang Selatan,-6.214782,107.010929,False,500000,7726.5,6.99,2.75,1.21,71.5,79.1,0,2.47,39.0,0.604,0.06
Kab. Bekasi,Cikarang Pusat,-6.305012,106.978835,False,25706,1048.6,8.19,1.92,13.69,82.4,70.4,0,0.32,26.7,0.519,0.195
Kab. Bekasi,Tambun Selatan,-6.277568,106.959038,False,171385,20926.2,8.64,0.1,2.0,62.3,80.3,5,0.1,31.7,0.562,0.093
Kab. Bekasi,Tambun Utara,-6.164318,106.982896,False,21845,5118.5,9.35,4.62,2.71,79.6,76.4,2,0.79,42.3,0.436,0.156
Kab. Bekasi,Tarumajaya,-6.177273,107.020982,False,194930,18045.1,5.5,5.05,2.86,79.5,75.1,10,1.31,32.5,0.593,0.106
Kab. Bekasi,Babelan,-6.19283,107.000422,False,76696,962.7,7.73,1.26,0.73,66.6,81.0,2,4.43,44.6,0.685,0.053
Kab. Bekasi,Muaragembong,-6.227695,106.998803,False,79612,3478.0,6.54,3.96,20.0,61.8,48.3,0,23.16,27.6,0.491,0.188
Kab. Bekasi,Cabangbungin,-6.288761,107.035592,False,147676,39406.7,6.45,1.71,3.8,68.4,76.9,11,1.36,36.0,0.496,0.088
Kab. Bekasi,Pebayuran,-6.275076,106.923891,False,53273,5080.1,12.72,0.67,5.35,63.1,75.1,4,5.84,37.8,0.56,0.174
Kab. Bekasi,Kedungwaringin,-6.216724,106.948338,False,72000,5278.9,8.16,0.46,10.62,59.1,67.2,7,0.48,32.1,0.431,0.191
Kab. Bekasi,Cibarusah,-6.169527,107.072629,False,96340,12088.6,5.43,2.08,2.5,65.9,76.6,4,3.81,30.0,0.639,0.077
Kab. Bekasi,Bojongmangu,-6.173622,106.979225,False,257352,82158.8,13.17,3.42,0.28,92.1,87.9,22,4.26,22.1,0.614,0.108
Kab. Bekasi,Sukatani,-6.317527,107.068531,False,101877,16652.7,8.53,6.61,14.58,74.4,54.4,0,0.94,30.2,0.521,0.167
Kab. Bekasi,Karangbahagia,-6.251491,107.074665,False,157853,28276.9,6.08,0.56,2.91,76.7,84.5,1,2.73,19.9,0.689,0.069
Kab. Bekasi,Setu,-6.165821,107.056482,False,60378,1192.8,7.51,4.22,5.21,52.4,62.0,3,5.82,38.7,0.526,0.122
Kab. Bekasi,Serang Baru,-6.272888,106.981616,False,63953,9273.9,8.54,0.53,2.53,63.5,79.1,5,1.71,22.5,0.513,0.104
Kab. Bekasi,Sukakarya,-6.183818,106.970708,False,36802,4758.7,7.91,0.61,6.0,92.7,87.7,4,11.13,29.5,0.416,0.153
Kab. Bekasi,Tambelang,-6.292881,107.009088,False,155548,10754.2,9.45,7.94,4.37,81.2,67.0,2,12.7,34.2,0.531,0.079
Kab. Bekasi,Sukawangi,-6.170215,107.031365,False,296605,35946.8,6.13,1.42,7.19,69.5,73.9,18,14.28,29.6,0.645,0.17
Kab. Bekasi,Karangsentosa,-6.22879,106.935548,False,114560,10760.5,11.82,3.5,13.1,69.7,61.6,0,2.09,26.3,0.546,0.095
Kota Bekasi,Bekasi Timur,-6.221599,107.068409,True,250112,24125.4,15.0,0.98,0.94,86.7,90.5,12,1.21,34.8,0.591,0.093
Kota Bekasi,Bekasi Barat,-6.297587,106.992933,True,81788,6902.4,10.7,1.64,3.5,79.0,82.2,1,12.17,21.5,0.471,0.16
Kota Bekasi,Bekasi Utara,-6.17962,107.028523,True,174119,43340.3,12.36,0.18,8.35,89.5,84.4,10,1.94,33.5,0.412,0.064
Kota Bekasi,Bekasi Selatan,-6.208477,107.022397,True,133924,20420.3,15.0,3.27,0.21,95.0,89.6,9,0.95,27.8,0.402,0.073
Kota Bekasi,Rawalumbu,-6.262481,106.956975,True,281543,53911.2,15.0,1.58,3.28,87.2,86.4,18,6.12,22.1,0.421,0.199
Kota Bekasi,Medan Satria,-6.190502,107.039618,True,206730,16983.4,8.12,0.88,10.33,85.6,78.5,6,0.76,28.7,0.487,0.072
Kota Bekasi,Bantar Gebang,-6.181268,107.056118,True,260484,34349.8,15.0,0.34,7.22,85.7,83.7,10,4.93,37.2,0.472,0.19
Kota Bekasi,Jatiasih,-6.238185,106.990243,True,209186,17013.1,7.51,2.32,9.86,61.2,64.6,5,0.81,25.4,0.556,0.105
Kota Bekasi,Jatisampurna,-6.192273,107.013994,True,148382,10148.0,12.6,2.2,1.78,81.7,84.3,15,0.95,37.4,0.662,0.109
Kota Bekasi,Mustika Jaya,-6.207685,107.037327,True,500000,41747.1,15.0,1.0,2.48,85.9,88.2,18,5.59,32.8,0.501,0.081
Kota Bekasi,Pondok Gede,-6.177599,106.964079,True,134923,19113.2,15.0,0.82,0.2,95.0,95.0,9,0.48,26.4,0.513,0.098
Kota Bekasi,Pondok Melati,-6.259907,106.925037,True,165110,20172.5,8.09,0.73,0.52,92.5,94.2,6,1.26,30.9,0.603,0.093
Kota Depok,Beji,-6.387475,106.745751,True,274697,46651.4,12.38,1.34,0.2,87.9,91.1,19,1.82,30.6,0.315,0.06
Kota Depok,Pancoran Mas,-6.405504,106.826823,True,193858,18033.8,9.93,2.49,1.64,83.7,84.6,8,8.4,13.6,0.238,0.111
Kota Depok,Cipayung,-6.434153,106.834533,True,219002,16643.8,12.39,4.09,2.77,86.0,80.4,5,5.45,20.9,0.387,0.107
Kota Depok,Sukmajaya,-6.47512,106.745976,True,388523,45566.7,9.73,2.35,1.97,95.0,89.7,12,0.4,30.7,0.333,0.088
Kota Depok,Cilodong,-6.348384,106.797631,True,388465,35724.4,15.0,0.88,7.34,95.0,86.5,10,0.1,24.2,0.225,0.059
Kota Depok,Cimanggis,-6.45967,106.823559,True,212508,14914.3,10.92,0.68,3.58,88.2,88.6,0,0.19,36.3,0.261,0.074
Kota Depok,Tapos,-6.356801,106.774531,True,156474,13360.4,10.01,2.48,0.8,80.5,84.3,5,1.02,33.1,0.235,0.164
Kota Depok,Sawangan,-6.380338,106.753656,True,229900,17565.2,7.2,2.44,1.75,84.5,85.0,2,1.34,35.8,0.203,0.134
Kota Depok,Bojongsari,-6.471731,106.825017,True,500000,54943.1,15.0,0.47,2.78,87.4,89.7,24,1.21,28.0,0.276,0.126
Kota Depok,Limo,-6.393498,106.841989,True,500000,37092.3,14.35,0.45,0.69,76.2,87.3,11,0.62,24.5,0.313,0.097
Kota Depok,Cinere,-6.363825,106.896136,True,144507,16923.9,14.99,0.45,1.33,86.0,91.0,0,1.18,34.1,0.259,0.16
Kab. Tasikmalaya,Singaparna,-7.347392,108.191673,False,89393,1124.9,3.1,5.29,6.26,38.6,51.9,0,5.62,24.4,0.181,0.558
Kab. Tasikmalaya,Sukarame,-7.30277,108.183333,False,122083,4319.7,3.9,3.49,17.0,44.4,45.4,0,25.0,33.4,0.065,0.769
Kab. Tasikmalaya,Ciawi,-7.359765,108.152553,False,104186,3827.3,9.44,0.42,0.62,40.8,71.6,3,0.37,29.2,0.102,0.665
Kab. Tasikmalaya,Cisayong,-7.425944,108.294024,False,73787,4810.2,8.92,5.83,7.34,48.9,53.8,2,5.03,29.8,0.104,0.538
Kab. Tasikmalaya,Manonjaya,-7.296243,108.251356,False,30775,1247.1,3.62,15.0,0.4,61.1,52.0,5,8.92,29.1,0.138,0.658
Kab. Tasikmalaya,Salopa,-7.364568,108.167727,False,37493,605.4,2.13,0.71,0.4,48.4,74.6,0,3.81,19.1,0.08,0.636
Kab. Tasikmalaya,Cikatomas,-7.40497,108.180039,False,27866,666.3,10.47,6.2,0.36,43.8,59.4,0,1.17,16.5,0.17,0.677
Kab. Tasikmalaya,Bantarkalong,-7.342124,108.254335,False,144087,6846.8,4.39,15.0,14.97,48.4,28.1,0,25.0,7.9,0.065,0.664
Kab. Tasikmalaya,Karangnunggal,-7.324368,108.184789,False,258805,13468.6,4.75,1.2,1.13,48.9,72.7,7,13.36,19.5,0.155,0.738
Kab. Tasikmalaya,Cibalong,-7.277222,108.258064,False,208727,3849.2,11.34,0.85,6.1,44.8,65.5,3,6.34,28.0,0.144,0.546
Kab. Tasikmalaya,Parungponteng,-7.341303,108.237875,False,48811,711.2,7.65,15.0,9.39,41.5,31.9,2,18.12,17.6,0.157,0.703
Kab. Tasikmalaya,Sodonghilir,-7.362864,108.179637,False,129164,2117.5,4.01,15.0,1.31,57.3,49.2,0,10.51,21.6,0.054,0.624
Kab. Tasikmalaya,Taraju,-7.373044,108.261255,False,14063,572.0,7.82,0.49,0.2,36.4,70.0,2,12.55,18.0,0.1,0.701
Kab. Tasikmalaya,Salawu,-7.427697,108.158572,False,37246,1269.5,4.68,7.63,9.08,44.8,45.5,8,1.44,23.2,0.082,0.677
Kab. Tasikmalaya,Puspahiang,-7.42264,108.146517,False,77126,1819.8,6.75,3.46,0.2,30.0,59.9,0,0.19,19.3,0.187,0.739
Kab. Tasikmalaya,Cipatujah,-7.293126,108.252585,False,56653,1360.4,6.02,2.61,1.6,63.5,75.3,1,12.68,5.0,0.188,0.794
Kab. Tasikmalaya,Cikalong,-7.354132,108.155653,False,155609,2924.7,2.66,2.29,3.91,59.2,71.3,0,0.1,13.3,0.052,0.687
Kab. Tasikmalaya,Pancatengah,-7.351341,108.215755,False,25016,1497.8,2.96,1.92,0.93,49.4,71.4,0,17.38,24.1,0.112,0.758
Kab. Tasikmalaya,Rajapolah,-7.402288,108.209416,False,39855,818.8,6.15,8.33,7.48,39.0,43.2,0,11.92,5.0,0.088,0.794
Kab. Tasikmalaya,Jamanis,-7.366239,108.238536,False,113467,1627.3,4.53,4.46,20.0,45.4,39.7,6,11.99,20.5,0.142,0.738
Kab. Tasikmalaya,Padakembang,-7.328385,108.147249,False,52009,1121.1,8.27,3.06,13.92,42.6,49.4,0,5.18,23.9,0.063,0.555
Kab. Tasikmalaya,Sukaratu,-7.370062,108.240138,False,64653,1367.8,4.01,15.0,2.54,45.1,42.1,0,25.0,9.9,0.164,0.507
Kab. Tasikmalaya,Leuwisari,-7.349498,108.277038,False,110729,4371.6,6.97,1.71,4.4,49.1,67.5,0,1.29,27.5,0.173,0.504
Kab. Tasikmalaya,Sariwangi,-7.324609,108.16607,False,87664,1519.3,4.28,3.39,20.0,54.9,46.6,0,16.89,31.3,0.149,0.61
Kab. Tasikmalaya,Sukaresik,-7.418709,108.242787,False,44215,1423.8,4.18,2.39,9.96,51.2,59.8,1,5.28,14.4,0.142,0.709
Kab. Tasikmalaya,Mangunreja,-7.425758,108.233724,False,47020,730.6,4.07,3.24,6.64,58.3,65.1,0,1.87,18.2,0.101,0.532
Kab. Tasikmalaya,Gunung Tanjung,-7.279563,108.232076,False,47299,2480.0,5.1,13.45,0.53,52.7,48.0,7,5.08,21.8,0.06,0.677
Kab. Tasikmalaya,Karangjaya,-7.367893,108.242926,False,82748,1983.4,3.74,7.01,1.16,65.0,66.0,0,6.66,33.7,0.128,0.723
